no_mm|tgl|jenis|nilai|no_invoice|unit|no_supplier|nama_supplier_seharusnya|keterangan
MM2510310017|2025-10-31|DOC|61126200.00|BYD/09/25/00118|TAG|19B005|PT JAPFA COMFEED INDONESIA Tbk|KOREKSI PERSEDIAAN DOC
MM2511300017|2025-11-30|DOC|1275554.00|-|MJK|?|(perlu ditentukan manual)|CN ATAS PEMBELIAN DOC SEBESAR 1,79 BOX
MM2512310049|2025-12-31|DOC|149646000.00|BYD/11/25/00341|MLG|19B005|PT JAPFA COMFEED INDONESIA Tbk|KOREKSI DOUBLE JURNAL PLASMA EDI SANTOSO (KDG
MM2512310050|2025-12-31|DOC|178150000.00|BYD/11/25/00340|MLG|19B005|PT JAPFA COMFEED INDONESIA Tbk|KOREKSI DOC LISAWATI WIJAYA KDG 1 
MM2512310052|2025-12-31|DOC|71260000.00|-|MLG|?|(perlu ditentukan manual)|KOREKSI DOC PLASMA DEWI MARIA KRISTINA D (KDG
MM2512310053|2025-12-31|DOC|171024000.00|-|BJN|?|(perlu ditentukan manual)|KOREKSI ATAS DOC - MULYADI (KDG : 2)
MM2512310054|2025-12-31|DOC|21378000.00|BYD/11/25/00196|MJK|19B005|PT JAPFA COMFEED INDONESIA Tbk|KOREKSI DOC PLASMA LUKY FIRDAUS.ST (KDG:1)
MM2512310055|2025-12-31|DOC|135394000.00|-|JBR|?|(perlu ditentukan manual)|KOREKSI DOC HADI SUPRAYTNO KDG : 2 - 32013187
MM2512310056|2025-12-31|DOC|12114200.00|BYD/11/25/00218|TAG|19B005|PT JAPFA COMFEED INDONESIA Tbk|KOREKSI DOC IBNU KHOLIM (KDG : 1)
MM2512310072|2025-12-31|DOC|3189.00|MM2512310008|MJK|?|(perlu ditentukan manual)|KOREKSI ATAS HUTANG DOC CV JATIREJO DAMAI MAK
MM2512310072|2025-12-31|DOC|1275554.00|MM2511300017|MJK|?|(perlu ditentukan manual)|KOREKSI ATAS HUTANG DOC CV JATIREJO DAMAI MAK
MM2602280004|2026-02-28|DOC|32737500.00|-|PSR|?|(perlu ditentukan manual)|KOREKSI ATAS CN/PKN/25/10/001 - HUTANG PAKAN
MM2602280005|2026-02-28|DOC|5325000.00|-|MLG|?|(perlu ditentukan manual)|KOREKSI ATAS CN/PKN/25/10/001 - MALANG
MM2603310046|2026-03-31|DOC|.15|BYD/12/25/00139|TAG|19B005|PT JAPFA COMFEED INDONESIA Tbk|PEMBULATAN UTANG NIAGA ORP (DOC) TAG
MM2603310046|2026-03-31|DOC|.50|BYD/09/25/00103|TAG|19B005|PT JAPFA COMFEED INDONESIA Tbk|PEMBULATAN UTANG NIAGA ORP (DOC) TAG
MM2603310128|2026-03-31|DOC|498.48|BYD/11/25/00015|MGT|19B005|PT JAPFA COMFEED INDONESIA Tbk|PEMBULATAN HUTANG DOC UNIT MAGETAN 
MM2603310129|2026-03-31|DOC|.50|BYD/10/25/00072|PRB|19B005|PT JAPFA COMFEED INDONESIA Tbk|PEMBULATAN RUPIAH HUTANG NIAGA DOC UNIT PRB
MM2604300029|2026-04-30|DOC|.16|BYD/03/26/00153|LMG|19B005|PT JAPFA COMFEED INDONESIA Tbk|PEMBULATAN NILAI HUTANG NIAGA ORP DOC
MM2604300030|2026-04-30|DOC|.45|BYD/04/26/00129|MDN|19B005|PT JAPFA COMFEED INDONESIA Tbk|PEMBULATAN NILAI HUTANG NIAGA ORP DOC
MM2606130001|2026-06-13|DOC|.50|BYD/12/25/00116|MLG|19B005|PT JAPFA COMFEED INDONESIA Tbk|PEMBULATAN INVOICE BYD/12/25/00116
MM2606130001|2026-06-13|DOC|.50|BYD/10/25/00070|MLG|19B005|PT JAPFA COMFEED INDONESIA Tbk|PEMBULATAN INVOICE BYD/10/25/00070
MM2606130001|2026-06-13|DOC|.50|BYD/09/25/00100|MLG|19B005|PT JAPFA COMFEED INDONESIA Tbk|PEMBULATAN INVOICE BYD/09/25/00100
MM2606130001|2026-06-13|DOC|.46|BYD/12/25/00387|MLG|19B005|PT JAPFA COMFEED INDONESIA Tbk|PEMBULATAN INVOICE BYD/12/25/00387
MM2606190001|2026-06-13|DOC|1.00|BYD/12/25/00106|BJN|19B005|PT JAPFA COMFEED INDONESIA Tbk|KOREKSI DESIMAL PEMBAYARAN DOC ATAS BYD/12/25
MM2606190002|2026-06-13|DOC|.05|BYD/04/26/00129|MDN|19B005|PT JAPFA COMFEED INDONESIA Tbk|KOREKSI DESIMAL PEMBAYARAN DOC ATAS BYD/04/26
MM2606190003|2026-06-13|DOC|.73|BYD/11/25/00015|MGT|19B005|PT JAPFA COMFEED INDONESIA Tbk|KOREKSI DESIMAL PEMBAYARAN DOC ATAS BYD/11/25
MM2606190006|2026-06-13|DOC|.35|BYD/12/25/00139|TAG|19B005|PT JAPFA COMFEED INDONESIA Tbk|KOREKSI DESIMAL PEMBAYARAN DOC ATAS BYD/12/25
MM2603310044|2026-03-31|OVK|91027.75|BYV/10/25/00156|BYL|19B004|PT AGRINUSA JAYA SANTOSA|PEMBEBANAN ATAS LEBIH BAYAR OA - AJS
MM2606230001|2026-06-13|OVK|555000.00|BYV/01/26/00004|GSK|19B004|PT AGRINUSA JAYA SANTOSA|KOREKSI SELISIH ATAS REVISI HARGA OVK BYV/01/
MM2604220001|2026-04-22|OVKEXT|.25|BYV/11/25/00004|PRB|25S054|CV MITRA GEMUK BERSAMA|PEMBULATAN PEMBAYARAN HUTANG NIAGA EKSTERN (O
MM2512310061|2025-12-31|PAKAN|8000000.00|-|PSR|?|(perlu ditentukan manual)|KOREKSI PAKAN DI UNIT PASURUAN 
