unit,nomor,supplier,tgl_bayar,konfir,transfer,cn,pph,memo,outstanding,status
----,-----,--------,---------,------,--------,--,---,----,-----------,------
BJN,BYD/06/26/00150,19B005,2026-06-12,51760000.00,.00,.00,.00,.00,51760000.00,BELUM BAYAR
BJN,BYD/06/26/00158,19B005,2026-06-12,186336000.00,.00,.00,.00,.00,186336000.00,BELUM BAYAR
BJN,BYD/06/26/00151,19B005,2026-06-12,155280000.00,.00,.00,.00,.00,155280000.00,BELUM BAYAR
BJN,BYD/06/26/00171,19B005,2026-06-13,124224000.00,.00,.00,.00,.00,124224000.00,BELUM BAYAR
BJN,BYD/06/26/00172,19B005,2026-06-13,56936000.00,.00,.00,.00,.00,56936000.00,BELUM BAYAR
BWI,BYD/06/26/00142,19B005,2026-06-12,59006400.00,.00,.00,.00,.00,59006400.00,BELUM BAYAR
BWI,BYD/06/26/00160,19B005,2026-06-13,53830400.00,.00,.00,.00,.00,53830400.00,BELUM BAYAR
BWI,BYD/06/26/00159,19B005,2026-06-13,113872000.00,.00,.00,.00,.00,113872000.00,BELUM BAYAR
GSK,BYD/06/26/00154,19B005,2026-06-12,25880000.00,.00,.00,.00,.00,25880000.00,BELUM BAYAR
JBR,BYD/06/26/00140,19B005,2026-06-12,16045600.00,.00,.00,.00,.00,16045600.00,BELUM BAYAR
JBR,BYD/06/26/00141,19B005,2026-06-12,46584000.00,.00,.00,.00,.00,46584000.00,BELUM BAYAR
KDR,BYD/06/26/00168,19B005,2026-06-13,82816000.00,.00,.00,.00,.00,82816000.00,BELUM BAYAR
LMG,BYD/06/26/00153,19B005,2026-06-12,18116000.00,.00,.00,.00,.00,18116000.00,BELUM BAYAR
LMG,BYD/06/26/00152,19B005,2026-06-12,93168000.00,.00,.00,.00,.00,93168000.00,BELUM BAYAR
LMG,BYD/06/26/00176,19B005,2026-06-13,25880000.00,.00,.00,.00,.00,25880000.00,BELUM BAYAR
LMG,BYD/06/26/00177,19B005,2026-06-13,36232000.00,.00,.00,.00,.00,36232000.00,BELUM BAYAR
MDN,BYD/06/26/00157,19B005,2026-06-12,82816000.00,.00,.00,.00,.00,82816000.00,BELUM BAYAR
MGT,BYD/06/26/00156,19B005,2026-06-12,77640000.00,.00,.00,.00,.00,77640000.00,BELUM BAYAR
MGT,BYD/06/26/00155,19B005,2026-06-12,39337600.00,.00,.00,.00,.00,39337600.00,BELUM BAYAR
MGT,BYD/06/26/00174,19B005,2026-06-13,77640000.00,.00,.00,.00,.00,77640000.00,BELUM BAYAR
MGT,BYD/06/26/00175,19B005,2026-06-13,46584000.00,.00,.00,.00,.00,46584000.00,BELUM BAYAR
MGT,BYD/06/26/00173,19B005,2026-06-13,77640000.00,.00,.00,.00,.00,77640000.00,BELUM BAYAR
MJK,BYD/06/26/00147,19B005,2026-06-12,26915200.00,.00,.00,.00,.00,26915200.00,BELUM BAYAR
MJK,BYD/06/26/00148,19B005,2026-06-12,26915200.00,.00,.00,.00,.00,26915200.00,BELUM BAYAR
MJK,BYD/06/26/00165,19B005,2026-06-13,36232000.00,.00,.00,.00,.00,36232000.00,BELUM BAYAR
MJK,BYD/06/26/00166,19B005,2026-06-13,62112000.00,.00,.00,.00,.00,62112000.00,BELUM BAYAR
MJK,BYD/06/26/00167,19B005,2026-06-13,31056000.00,.00,.00,.00,.00,31056000.00,BELUM BAYAR
MLG,BYD/06/26/00144,19B005,2026-06-12,31056000.00,.00,.00,.00,.00,31056000.00,BELUM BAYAR
MLG,BYD/06/26/00145,19B005,2026-06-12,56936000.00,.00,.00,.00,.00,56936000.00,BELUM BAYAR
MLG,BYD/06/26/00146,19B005,2026-06-12,46584000.00,.00,.00,.00,.00,46584000.00,BELUM BAYAR
MLG,BYD/06/26/00163,19B005,2026-06-13,82816000.00,.00,.00,.00,.00,82816000.00,BELUM BAYAR
MLG,BYD/06/26/00164,19B005,2026-06-13,51760000.00,.00,.00,.00,.00,51760000.00,BELUM BAYAR
PRB,BYD/06/26/00161,19B005,2026-06-13,46584000.00,.00,.00,.00,.00,46584000.00,BELUM BAYAR
PSR,BYD/10/25/00195,19B005,2025-10-13,28504000.00,28045710.00,.00,71260.00,388000.00,-970.00,PARSIAL/BEDA
PSR,BYD/06/26/00143,19B005,2026-06-12,51760000.00,.00,.00,.00,.00,51760000.00,BELUM BAYAR
PSR,BYD/06/26/00162,19B005,2026-06-13,38820000.00,.00,.00,.00,.00,38820000.00,BELUM BAYAR
TAG,BYD/06/26/00149,19B005,2026-06-12,38820000.00,.00,.00,.00,.00,38820000.00,BELUM BAYAR
TAG,BYD/06/26/00170,19B005,2026-06-13,49172000.00,.00,.00,.00,.00,49172000.00,BELUM BAYAR
TAG,BYD/06/26/00169,19B005,2026-06-13,43996000.00,.00,.00,.00,.00,43996000.00,BELUM BAYAR
