unit,nomor,supplier,tgl_bayar,konfir,transfer,cn,memo,outstanding,status
----,-----,--------,---------,------,--------,--,----,-----------,------
BJN,BYP/06/26/00643,19B005,2026-06-11,80100000.00,.00,.00,.00,80100000.00,BELUM BAYAR
BJN,BYP/06/26/00691,19B005,2026-06-11,80550000.00,.00,.00,.00,80550000.00,BELUM BAYAR
BJN,BYP/06/26/00692,19B005,2026-06-11,80100000.00,.00,.00,.00,80100000.00,BELUM BAYAR
BJN,BYP/06/26/00650,19B005,2026-06-11,80100000.00,.00,.00,.00,80100000.00,BELUM BAYAR
BJN,BYP/06/26/00681,19B005,2026-06-11,80100000.00,.00,.00,.00,80100000.00,BELUM BAYAR
BJN,BYP/06/26/00682,19B005,2026-06-11,79750000.00,.00,.00,.00,79750000.00,BELUM BAYAR
BJN,BYP/06/26/00693,19B005,2026-06-11,79875000.00,.00,.00,.00,79875000.00,BELUM BAYAR
BJN,BYP/06/26/00694,19B005,2026-06-11,80200000.00,.00,.00,.00,80200000.00,BELUM BAYAR
BJN,BYP/06/26/00730,19B005,2026-06-12,70475000.00,.00,.00,.00,70475000.00,BELUM BAYAR
BJN,BYP/06/26/00763,19B005,2026-06-12,80100000.00,.00,.00,.00,80100000.00,BELUM BAYAR
BJN,BYP/06/26/00764,19B005,2026-06-12,80100000.00,.00,.00,.00,80100000.00,BELUM BAYAR
BJN,BYP/06/26/00766,19B005,2026-06-12,80100000.00,.00,.00,.00,80100000.00,BELUM BAYAR
BJN,BYP/06/26/00729,19B005,2026-06-12,80100000.00,.00,.00,.00,80100000.00,BELUM BAYAR
BJN,BYP/06/26/00765,19B005,2026-06-12,79350000.00,.00,.00,.00,79350000.00,BELUM BAYAR
BJN,BYP/06/26/00776,19B005,2026-06-13,71600000.00,.00,.00,.00,71600000.00,BELUM BAYAR
BJN,BYP/06/26/00779,19B005,2026-06-13,71200000.00,.00,.00,.00,71200000.00,BELUM BAYAR
BJN,BYP/06/26/00781,19B005,2026-06-13,78750000.00,.00,.00,.00,78750000.00,BELUM BAYAR
BJN,BYP/06/26/00802,19B005,2026-06-13,79500000.00,.00,.00,.00,79500000.00,BELUM BAYAR
BJN,BYP/06/26/00851,19B005,2026-06-13,79725000.00,.00,.00,.00,79725000.00,BELUM BAYAR
BJN,BYP/06/26/00852,19B005,2026-06-13,79500000.00,.00,.00,.00,79500000.00,BELUM BAYAR
BJN,BYP/06/26/00853,19B005,2026-06-13,80100000.00,.00,.00,.00,80100000.00,BELUM BAYAR
BJN,BYP/06/26/00854,19B005,2026-06-13,79200000.00,.00,.00,.00,79200000.00,BELUM BAYAR
BJN,BYP/06/26/00855,19B005,2026-06-13,80150000.00,.00,.00,.00,80150000.00,BELUM BAYAR
BJN,BYP/06/26/00774,19B005,2026-06-13,79200000.00,.00,.00,.00,79200000.00,BELUM BAYAR
BWI,BYP/03/26/01850,19B005,2026-03-24,402825000.00,80000000.00,.00,.00,322825000.00,PARSIAL/BEDA
BWI,BYP/03/26/01851,19B005,2026-03-24,80000000.00,402825000.00,.00,.00,-322825000.00,PARSIAL/BEDA
BWI,BYP/06/26/00809,19B005,2026-06-12,80325000.00,.00,.00,.00,80325000.00,BELUM BAYAR
BWI,BYP/06/26/00813,19B005,2026-06-12,78750000.00,.00,.00,.00,78750000.00,BELUM BAYAR
BWI,BYP/06/26/00862,19B005,2026-06-12,89000000.00,.00,.00,.00,89000000.00,BELUM BAYAR
BWI,BYP/06/26/00811,19B005,2026-06-12,148750000.00,.00,.00,.00,148750000.00,BELUM BAYAR
BWI,BYP/06/26/00882,19B005,2026-06-13,70000000.00,.00,.00,.00,70000000.00,BELUM BAYAR
BWI,BYP/06/26/00875,19B005,2026-06-13,441625000.00,.00,.00,.00,441625000.00,BELUM BAYAR
BWI,BYP/06/26/00877,19B005,2026-06-13,80100000.00,.00,.00,.00,80100000.00,BELUM BAYAR
BWI,BYP/06/26/00881,19B005,2026-06-13,437500000.00,.00,.00,.00,437500000.00,BELUM BAYAR
GSK,BYP/06/26/00698,19B005,2026-06-11,71200000.00,.00,.00,.00,71200000.00,BELUM BAYAR
GSK,BYP/06/26/00699,19B005,2026-06-11,70000000.00,.00,.00,.00,70000000.00,BELUM BAYAR
GSK,BYP/06/26/00696,19B005,2026-06-11,70650000.00,.00,.00,.00,70650000.00,BELUM BAYAR
GSK,BYP/06/26/00697,19B005,2026-06-11,70000000.00,.00,.00,.00,70000000.00,BELUM BAYAR
GSK,BYP/06/26/00700,19B005,2026-06-11,70000000.00,.00,.00,.00,70000000.00,BELUM BAYAR
GSK,BYP/06/26/00717,19B005,2026-06-12,70000000.00,.00,.00,.00,70000000.00,BELUM BAYAR
GSK,BYP/06/26/00762,19B005,2026-06-12,70600000.00,.00,.00,.00,70600000.00,BELUM BAYAR
GSK,BYP/06/26/00718,19B005,2026-06-12,70225000.00,.00,.00,.00,70225000.00,BELUM BAYAR
GSK,BYP/06/26/00814,19B005,2026-06-13,71000000.00,.00,.00,.00,71000000.00,BELUM BAYAR
GSK,BYP/06/26/00856,19B005,2026-06-13,71200000.00,.00,.00,.00,71200000.00,BELUM BAYAR
GSK,BYP/06/26/00857,19B005,2026-06-13,71200000.00,.00,.00,.00,71200000.00,BELUM BAYAR
GSK,BYP/06/26/00863,19B005,2026-06-13,70000000.00,.00,.00,.00,70000000.00,BELUM BAYAR
GSK,BYP/06/26/00858,19B005,2026-06-13,70000000.00,.00,.00,.00,70000000.00,BELUM BAYAR
JBR,BYP/06/26/00742,19B005,2026-06-12,380450000.00,.00,.00,.00,380450000.00,BELUM BAYAR
JBR,BYP/06/26/00860,19B005,2026-06-13,183750000.00,.00,.00,.00,183750000.00,BELUM BAYAR
JBR,BYP/06/26/00859,19B005,2026-06-13,381750000.00,.00,.00,.00,381750000.00,BELUM BAYAR
KDR,BYP/12/25/00566,19B005,2025-11-15,65550000.00,65400000.00,.00,.00,150000.00,PARSIAL/BEDA
KDR,BYP/06/26/00689,19B005,2026-06-11,62300000.00,.00,.00,.00,62300000.00,BELUM BAYAR
KDR,BYP/06/26/00690,19B005,2026-06-11,61250000.00,.00,.00,.00,61250000.00,BELUM BAYAR
KDR,BYP/06/26/00756,19B005,2026-06-12,70800000.00,.00,.00,.00,70800000.00,BELUM BAYAR
