bym|tagihan|transfer|pemb|HR_credit|GL_main|GL_96010|GL_total|beda
BYM/01/26/00032|81385305.40|81385305.00|.40|81385305.40|81385305.00|.00|81385305.00|.40
BYM/01/26/00047|68084368.10|68084368.00|.10|68084368.10|68084368.00|.00|68084368.00|.10
BYM/01/26/00060|251248134.06|251248134.00|.06|251248134.06|251248134.00|.00|251248134.00|.06
BYM/01/26/00085|167760981.50|167760981.00|.50|167760981.50|167760981.00|.00|167760981.00|.50
BYM/01/26/00119|49928938.50|49928938.00|.50|49928938.50|49928938.00|.00|49928938.00|.50
BYM/01/26/00197|88254277.30|88254277.00|.30|88254277.30|88254277.00|.00|88254277.00|.30
BYM/01/26/00236|340980107.30|340980107.00|.30|340980107.30|340980107.00|.00|340980107.00|.30
BYM/01/26/00241|52839424.40|52839424.00|.40|52839424.40|52839424.00|.00|52839424.00|.40
BYM/01/26/00262|362449667.39|362449667.00|.39|362449667.39|362449667.00|.00|362449667.00|.39
BYM/01/26/00273|87060480.50|87060480.00|.50|87060480.50|87060480.00|.00|87060480.00|.50
BYM/01/26/00286|147129482.50|147129482.00|.50|147129482.50|147129482.00|.00|147129482.00|.50
BYM/01/26/00330|55401257.10|55401257.00|.10|55401257.10|55401257.00|.00|55401257.00|.10
BYM/02/26/00059|231917823.20|231917823.00|.20|231917823.20|231917823.00|.00|231917823.00|.20
BYM/02/26/00060|86619632.40|86619632.00|.40|86619632.40|86619632.00|.00|86619632.00|.40
BYM/02/26/00136|301857547.40|301857547.00|.40|301857547.40|301857547.00|.00|301857547.00|.40
BYM/02/26/00148|47983330.36|47983330.00|.36|47983330.36|47983330.00|.00|47983330.00|.36
BYM/02/26/00149|324889989.06|324889989.00|.06|324889989.06|324889989.00|.00|324889989.00|.06
BYM/02/26/00161|62480335.12|62480335.00|.12|62480335.12|62480335.00|.00|62480335.00|.12
BYM/02/26/00163|96379666.04|96379666.00|.04|96379666.04|96379666.00|.00|96379666.00|.04
