bym|tagihan|transfer|pemb|HR_credit|GL_main|GL_96010|GL_total|beda
BYM/01/26/00022|22244804.40|22244804.00|.40|22244804.40|22244804.00|.00|22244804.00|.40
BYM/01/26/00083|230845365.10|230845365.00|.10|230845365.10|230845365.00|.00|230845365.00|.10
BYM/01/26/00084|119013831.30|119013831.00|.30|119013831.30|119013831.00|.00|119013831.00|.30
BYM/01/26/00157|225696024.13|225696024.00|.13|225696024.13|225696024.00|.00|225696024.00|.13
BYM/01/26/00171|23624693.40|23624693.00|.40|23624693.40|23624693.00|.00|23624693.00|.40
BYM/01/26/00232|256353373.50|256353373.00|.50|256353373.50|256353373.00|.00|256353373.00|.50
BYM/02/26/00040|7611650.20|7611650.00|.20|7611650.20|7611650.00|.00|7611650.00|.20
BYM/02/26/00050|147956607.40|147956607.00|.40|147956607.40|147956607.00|.00|147956607.00|.40
BYM/02/26/00156|31513002.50|31513002.00|.50|31513002.50|31513002.00|.00|31513002.00|.50
BYM/02/26/00211|13870233.02|13870233.00|.02|13870233.02|13870233.00|.00|13870233.00|.02
BYM/02/26/00287|2021577.32|2021577.00|.32|2021577.32|2021577.00|.00|2021577.00|.32
BYM/03/26/00015|69245361.86|69245361.86|.00|69245361.86|69245362.00|.00|69245362.00|-.14
BYM/03/26/00016|118682860.31|118682860.31|.00|118682860.31|118682861.00|.00|118682861.00|-.69
BYM/03/26/00044|130984575.40|130984575.00|.40|130984575.40|130984575.00|.00|130984575.00|.40
BYM/03/26/00055|50287245.68|50287245.68|.00|50287245.68|50287246.00|.00|50287246.00|-.32
BYM/03/26/00071|10104086.16|10104086.00|.16|10104086.16|10104086.00|.00|10104086.00|.16
BYM/03/26/00074|280657571.10|280657571.00|.10|280657571.10|280657571.00|.00|280657571.00|.10
BYM/03/26/00092|247495834.97|247495834.97|.00|247495834.97|247495835.00|.00|247495835.00|-.03
BYM/03/26/00152|102006947.77|102006947.77|.00|102006947.77|102006948.00|.00|102006948.00|-.23
BYM/03/26/00153|283197333.83|283197333.83|.00|283197333.83|283197334.00|.00|283197334.00|-.17
BYM/03/26/00218|32169871.02|32169871.00|.02|32169871.02|32169871.00|.00|32169871.00|.02
BYM/03/26/00254|38963580.88|38963580.88|.00|38963580.88|38963581.00|.00|38963581.00|-.12
BYM/03/26/00272|297908806.57|297908806.00|.57|297908806.57|297908806.00|.00|297908806.00|.57
BYM/03/26/00309|51011374.05|51011374.05|.00|51011374.05|51011375.00|.00|51011375.00|-.95
BYM/03/26/00310|16434698.98|16434698.98|.00|16434698.98|16434699.00|.00|16434699.00|-.02
BYM/03/26/00318|47608101.59|47608101.59|.00|47608101.59|47608102.00|.00|47608102.00|-.41
BYM/03/26/00337|175185435.53|175185435.53|.00|175185435.53|175185436.00|.00|175185436.00|-.47
BYM/03/26/00338|330925275.45|330925275.45|.00|330925275.45|330925276.00|.00|330925276.00|-.55
BYM/04/26/00003|14150419.92|14150419.92|.00|14150419.92|14150420.00|.00|14150420.00|-.08
BYM/04/26/00015|18341800.05|18341800.05|.00|18341800.05|18341801.00|.00|18341801.00|-.95
BYM/04/26/00065|38985517.20|38985517.00|.20|38985517.20|38985517.00|.00|38985517.00|.20
BYM/04/26/00083|19256115.55|19256115.55|.00|19256115.55|19256116.00|.00|19256116.00|-.45
BYM/04/26/00095|183434533.10|183434533.00|.10|183434533.10|183434533.00|.00|183434533.00|.10
BYM/04/26/00102|7818604.64|7818604.64|.00|7818604.64|7818605.00|.00|7818605.00|-.36
BYM/04/26/00119|172900985.95|172900985.95|.00|172900985.95|172900986.00|.00|172900986.00|-.05
BYM/04/26/00120|128519774.95|128519774.95|.00|128519774.95|128519775.00|.00|128519775.00|-.05
BYM/04/26/00161|126806600.20|126806600.00|.20|126806600.20|126806600.00|.00|126806600.00|.20
BYM/04/26/00183|19717389.30|19717389.00|.30|19717389.30|19717389.00|.00|19717389.00|.30
BYM/04/26/00233|21251917.40|21251917.00|.40|21251917.40|21251917.00|.00|21251917.00|.40
BYM/04/26/00234|6465183.48|6465183.00|.48|6465183.48|6465183.00|.00|6465183.00|.48
