bym|tagihan|transfer|pemb|HR_credit|GL_main|GL_96010|GL_total|beda
BYM/01/26/00023|103137874.23|103137874.00|.23|103137874.23|103137874.00|.00|103137874.00|.23
BYM/01/26/00325|113752461.20|113752461.00|.20|113752461.20|113752461.00|.00|113752461.00|.20
BYM/01/26/00326|187332611.10|187332611.00|.10|187332611.10|187332611.00|.00|187332611.00|.10
BYM/02/26/00010|110635622.10|110635622.00|.10|110635622.10|110635622.00|.00|110635622.00|.10
BYM/02/26/00035|116419286.20|116419286.00|.20|116419286.20|116419286.00|.00|116419286.00|.20
BYM/02/26/00067|32161865.40|32161865.00|.40|32161865.40|32161865.00|.00|32161865.00|.40
BYM/02/26/00090|54966384.06|54966384.00|.06|54966384.06|54966384.00|.00|54966384.00|.06
BYM/02/26/00128|32085473.55|32085473.00|.55|32085473.55|32085473.00|.00|32085473.00|.55
BYM/02/26/00129|69728887.48|69728887.00|.48|69728887.48|69728887.00|.00|69728887.00|.48
BYM/02/26/00184|98477139.46|98477139.00|.46|98477139.46|98477139.00|.00|98477139.00|.46
BYM/02/26/00219|89359045.02|89359045.00|.02|89359045.02|89359045.00|.00|89359045.00|.02
BYM/03/26/00017|61066010.88|61066010.88|.00|61066010.88|61066011.00|.00|61066011.00|-.12
BYM/03/26/00020|16237213.30|16237213.00|.30|16237213.30|16237213.00|.00|16237213.00|.30
BYM/03/26/00023|97707784.61|97707784.61|.00|97707784.61|97707785.00|.00|97707785.00|-.39
BYM/03/26/00069|38346176.47|38346176.47|.00|38346176.47|38346177.00|.00|38346177.00|-.53
BYM/03/26/00070|172466767.55|172466767.55|.00|172466767.55|172466768.00|.00|172466768.00|-.45
BYM/03/26/00087|90781982.14|90781982.00|.14|90781982.14|90781982.00|.00|90781982.00|.14
BYM/03/26/00112|62933389.61|62933389.61|.00|62933389.61|62933390.00|.00|62933390.00|-.39
BYM/03/26/00133|94484958.05|94484958.05|.00|94484958.05|94484959.00|.00|94484959.00|-.95
BYM/03/26/00140|30078485.85|30078485.85|.00|30078485.85|30078486.00|.00|30078486.00|-.15
BYM/03/26/00141|101343147.99|101343147.99|.00|101343147.99|101343148.00|.00|101343148.00|-.01
BYM/03/26/00142|127928763.41|127928763.00|.41|127928763.41|127928763.00|.00|127928763.00|.41
BYM/03/26/00166|37795951.06|37795951.00|.06|37795951.06|37795951.00|.00|37795951.00|.06
BYM/03/26/00181|187127549.91|187127549.91|.00|187127549.91|187127550.00|.00|187127550.00|-.09
BYM/03/26/00203|28941256.49|28941256.00|.49|28941256.49|28941256.00|.00|28941256.00|.49
BYM/03/26/00204|197046783.04|197046783.00|.04|197046783.04|197046783.00|.00|197046783.00|.04
BYM/03/26/00227|213191772.44|213191772.44|.00|213191772.44|213191773.00|.00|213191773.00|-.56
BYM/03/26/00244|121595566.82|121595566.82|.00|121595566.82|121595567.00|.00|121595567.00|-.18
BYM/03/26/00270|147743202.60|147743202.60|.00|147743202.60|147743203.00|.00|147743203.00|-.40
BYM/03/26/00273|149091483.66|149091483.66|.00|149091483.66|149091484.00|.00|149091484.00|-.34
BYM/03/26/00275|166328319.50|166328319.00|.50|166328319.50|166328319.00|.00|166328319.00|.50
