bym|tagihan|transfer|pemb|HR_credit|GL_main|GL_96010|GL_total|beda
BYM/01/26/00018|135273883.50|135273883.00|.50|135273883.50|135273883.00|.00|135273883.00|.50
BYM/01/26/00027|71080164.40|71080164.00|.40|71080164.40|71080164.00|.00|71080164.00|.40
BYM/01/26/00285|82289316.20|82289316.00|.20|82289316.20|82289316.00|.00|82289316.00|.20
BYM/02/26/00037|160414595.25|160414595.00|.25|160414595.25|160414595.00|.00|160414595.00|.25
BYM/02/26/00089|73015476.24|73015476.00|.24|73015476.24|73015476.00|.00|73015476.00|.24
BYM/02/26/00189|114837558.36|114837558.00|.36|114837558.36|114837558.00|.00|114837558.00|.36
BYM/02/26/00207|131392796.12|131392796.00|.12|131392796.12|131392796.00|.00|131392796.00|.12
BYM/03/26/00028|73782862.30|73782862.00|.30|73782862.30|73782862.00|.00|73782862.00|.30
BYM/03/26/00038|53377433.62|53377433.62|.00|53377433.62|53377434.00|.00|53377434.00|-.38
BYM/03/26/00062|172063944.43|172063944.43|.00|172063944.43|172063945.00|.00|172063945.00|-.57
BYM/03/26/00063|64186577.35|64186577.35|.00|64186577.35|64186578.00|.00|64186578.00|-.65
BYM/03/26/00083|71835919.82|71835919.82|.00|71835919.82|71835920.00|.00|71835920.00|-.18
BYM/03/26/00084|14005496.05|14005496.05|.00|14005496.05|14005497.00|.00|14005497.00|-.95
BYM/03/26/00122|59335591.07|59335591.07|.00|59335591.07|59335592.00|.00|59335592.00|-.93
BYM/03/26/00123|41398156.17|41398156.17|.00|41398156.17|41398157.00|.00|41398157.00|-.83
BYM/03/26/00182|74504169.74|74504169.74|.00|74504169.74|74504170.00|.00|74504170.00|-.26
BYM/03/26/00195|55606155.87|55606155.00|.87|55606155.87|55606155.00|.00|55606155.00|.87
BYM/03/26/00223|170932314.42|170932314.00|.42|170932314.42|170932314.00|.00|170932314.00|.42
BYM/03/26/00224|105326787.72|105326787.72|.00|105326787.72|105326788.00|.00|105326788.00|-.28
BYM/03/26/00269|191399982.90|191399982.90|.00|191399982.90|191399983.00|.00|191399983.00|-.10
BYM/03/26/00281|197943474.75|197943474.75|.00|197943474.75|197943475.00|.00|197943475.00|-.25
BYM/03/26/00282|68043041.26|68043041.26|.00|68043041.26|68043042.00|.00|68043042.00|-.74
BYM/03/26/00321|54062281.63|54062281.63|.00|54062281.63|54062282.00|.00|54062282.00|-.37
BYM/03/26/00342|45459895.04|45459895.00|.04|45459895.04|45459895.00|.00|45459895.00|.04
BYM/03/26/00344|70616876.33|70616876.00|.33|70616876.33|70616876.00|.00|70616876.00|.33
BYM/04/26/00014|27867103.60|27867103.60|.00|27867103.60|27867104.00|.00|27867104.00|-.40
BYM/04/26/00049|70098476.35|70098476.00|.35|70098476.35|70098476.00|.00|70098476.00|.35
BYM/04/26/00067|2196937.05|2196937.05|.00|2196937.05|2196938.00|.00|2196938.00|-.95
BYM/04/26/00069|134174303.90|134174303.90|.00|134174303.90|134174304.00|.00|134174304.00|-.10
BYM/04/26/00073|66875158.35|66875158.35|.00|66875158.35|66875159.00|.00|66875159.00|-.65
BYM/04/26/00111|53165984.90|53165984.90|.00|53165984.90|53165985.00|.00|53165985.00|-.10
BYM/04/26/00146|73616480.35|73616480.35|.00|73616480.35|73616481.00|.00|73616481.00|-.65
BYM/04/26/00165|40315418.85|40315418.85|.00|40315418.85|40315419.00|.00|40315419.00|-.15
BYM/04/26/00199|60964579.90|60964579.90|.00|60964579.90|60964580.00|.00|60964580.00|-.10
BYM/04/26/00222|121709331.10|121709331.00|.10|121709331.10|121709331.00|.00|121709331.00|.10
BYM/04/26/00235|80020221.75|80020221.75|.00|80020221.75|80020222.00|.00|80020222.00|-.25
BYM/04/26/00313|101444195.30|101444195.00|.30|101444195.30|101444195.00|.00|101444195.00|.30
BYM/04/26/00338|146995555.70|146995555.70|.00|146995555.70|146995556.00|.00|146995556.00|-.30
BYM/04/26/00358|20786748.15|20786748.15|.00|20786748.15|20786749.00|.00|20786749.00|-.85
BYM/06/26/00003|110068967.11|110068967.11|.00|110068967.11|110068967.11|-.89|110068966.22|.89
BYM/11/25/00022|109492382.03|109492382.00|.03|109492382.03|109492382.00|.00|109492382.00|.03
BYM/11/25/00069|47686790.20|47686790.00|.20|47686790.20|47686790.00|.00|47686790.00|.20
BYM/11/25/00134|162286599.45|162286599.00|.45|162286599.45|162286599.00|.00|162286599.00|.45
BYM/11/25/00223|237378753.15|237378753.00|.15|237378753.15|237378753.00|.00|237378753.00|.15
BYM/12/25/00033|122801830.20|122801830.00|.20|122801830.20|122801830.00|.00|122801830.00|.20
BYM/12/25/00073|39972953.44|39972953.00|.44|39972953.44|39972953.00|.00|39972953.00|.44
BYM/12/25/00094|196205192.40|196205192.00|.40|196205192.40|196205192.00|.00|196205192.00|.40
BYM/12/25/00118|188742849.47|188742849.00|.47|188742849.47|188742849.00|.00|188742849.00|.47
BYM/12/25/00124|89398767.36|89398767.00|.36|89398767.36|89398767.00|.00|89398767.00|.36
BYM/12/25/00193|48289196.20|48289196.00|.20|48289196.20|48289196.00|.00|48289196.00|.20
BYM/12/25/00251|93012509.46|93012509.00|.46|93012509.46|93012509.00|.00|93012509.00|.46
