bym|tagihan|transfer|pemb|HR_credit|GL_main|GL_96010|GL_total|beda
BYM/01/26/00017|66623722.20|66623722.00|.20|66623722.20|66623722.00|.00|66623722.00|.20
BYM/01/26/00024|158196490.20|158196490.00|.20|158196490.20|158196490.00|.00|158196490.00|.20
BYM/01/26/00059|139031260.45|139031260.00|.45|139031260.45|139031260.00|.00|139031260.00|.45
BYM/01/26/00111|171811860.50|171811860.00|.50|171811860.50|171811860.00|.00|171811860.00|.50
BYM/01/26/00128|57397845.40|57397845.00|.40|57397845.40|57397845.00|.00|57397845.00|.40
BYM/01/26/00161|18251652.30|18251652.00|.30|18251652.30|18251652.00|.00|18251652.00|.30
BYM/01/26/00201|14370078.10|14370078.00|.10|14370078.10|14370078.00|.00|14370078.00|.10
BYM/01/26/00209|93436634.18|93436634.00|.18|93436634.18|93436634.00|.00|93436634.00|.18
BYM/01/26/00265|167732218.50|167732218.00|.50|167732218.50|167732218.00|.00|167732218.00|.50
BYM/01/26/00279|82646972.10|82646972.00|.10|82646972.10|82646972.00|.00|82646972.00|.10
BYM/01/26/00281|132667490.20|132667490.00|.20|132667490.20|132667490.00|.00|132667490.00|.20
BYM/01/26/00297|115717611.10|115717611.00|.10|115717611.10|115717611.00|.00|115717611.00|.10
BYM/01/26/00337|123179037.10|123179037.00|.10|123179037.10|123179037.00|.00|123179037.00|.10
BYM/01/26/00338|49660696.40|49660696.00|.40|49660696.40|49660696.00|.00|49660696.00|.40
BYM/02/26/00113|193931436.17|193931436.00|.17|193931436.17|193931436.00|.00|193931436.00|.17
BYM/02/26/00120|97688198.30|97688198.00|.30|97688198.30|97688198.00|.00|97688198.00|.30
BYM/02/26/00204|61594746.36|61594746.00|.36|61594746.36|61594746.00|.00|61594746.00|.36
BYM/02/26/00205|82322313.04|82322313.00|.04|82322313.04|82322313.00|.00|82322313.00|.04
BYM/02/26/00215|75655409.06|75655409.00|.06|75655409.06|75655409.00|.00|75655409.00|.06
BYM/02/26/00286|91276397.02|91276397.00|.02|91276397.02|91276397.00|.00|91276397.00|.02
BYM/03/26/00008|138641500.50|138641500.50|.00|138641500.50|138641501.00|.00|138641501.00|-.50
BYM/03/26/00009|113842502.62|113842502.62|.00|113842502.62|113842503.00|.00|113842503.00|-.38
BYM/03/26/00014|19145922.88|19145922.88|.00|19145922.88|19145923.00|.00|19145923.00|-.12
BYM/03/26/00019|153423697.14|153423697.00|.14|153423697.14|153423697.00|.00|153423697.00|.14
BYM/03/26/00025|21063778.72|21063778.72|.00|21063778.72|21063779.00|.00|21063779.00|-.28
BYM/03/26/00029|14801686.76|14801686.76|.00|14801686.76|14801687.00|.00|14801687.00|-.24
BYM/03/26/00033|16718110.57|16718110.57|.00|16718110.57|16718111.00|.00|16718111.00|-.43
BYM/03/26/00034|18723126.87|18723126.87|.00|18723126.87|18723127.00|.00|18723127.00|-.13
BYM/03/26/00054|79333785.26|79333785.26|.00|79333785.26|79333786.00|.00|79333786.00|-.74
BYM/03/26/00073|12735807.07|12735807.07|.00|12735807.07|12735808.00|.00|12735808.00|-.93
BYM/03/26/00088|24199270.83|24199270.83|.00|24199270.83|24199271.00|.00|24199271.00|-.17
BYM/03/26/00089|34802497.94|34802497.94|.00|34802497.94|34802498.00|.00|34802498.00|-.06
BYM/03/26/00102|28085793.05|28085793.05|.00|28085793.05|28085794.00|.00|28085794.00|-.95
BYM/03/26/00106|31547795.37|31547795.00|.37|31547795.37|31547795.00|.00|31547795.00|.37
BYM/03/26/00124|20793454.29|20793454.29|.00|20793454.29|20793455.00|.00|20793455.00|-.71
BYM/03/26/00168|104553091.44|104553091.00|.44|104553091.44|104553091.00|.00|104553091.00|.44
BYM/03/26/00172|84943957.35|84943957.35|.00|84943957.35|84943958.00|.00|84943958.00|-.65
BYM/03/26/00183|61452805.61|61452805.61|.00|61452805.61|61452806.00|.00|61452806.00|-.39
BYM/03/26/00192|34570020.75|34570020.00|.75|34570020.75|34570020.00|.00|34570020.00|.75
