bym|tagihan|transfer|pemb|HR_credit|GL_main|GL_96010|GL_total|beda
BYM/01/26/00125|42244693.40|42244693.00|.40|42244693.40|42244693.00|.00|42244693.00|.40
BYM/01/26/00158|52276816.20|52276816.00|.20|52276816.20|52276816.00|.00|52276816.00|.20
BYM/01/26/00182|71504215.30|71504215.00|.30|71504215.30|71504215.00|.00|71504215.00|.30
BYM/01/26/00222|124908521.50|124908521.00|.50|124908521.50|124908521.00|.00|124908521.00|.50
BYM/01/26/00267|15593543.42|15593543.00|.42|15593543.42|15593543.00|.00|15593543.00|.42
BYM/01/26/00323|249931927.42|249931927.00|.42|249931927.42|249931927.00|.00|249931927.00|.42
BYM/02/26/00086|101129766.59|101129766.00|.59|101129766.59|101129766.00|.00|101129766.00|.59
BYM/02/26/00139|67373617.22|67373617.00|.22|67373617.22|67373617.00|.00|67373617.00|.22
BYM/02/26/00167|129677841.20|129677841.00|.20|129677841.20|129677841.00|.00|129677841.00|.20
BYM/02/26/00177|85615673.61|85615673.00|.61|85615673.61|85615673.00|.00|85615673.00|.61
BYM/02/26/00201|102915267.06|102915267.00|.06|102915267.06|102915267.00|.00|102915267.00|.06
BYM/02/26/00253|170224605.46|170224605.00|.46|170224605.46|170224605.00|.00|170224605.00|.46
BYM/03/26/00040|286362589.52|286362589.52|.00|286362589.52|286362590.00|.00|286362590.00|-.48
BYM/03/26/00064|76475561.75|76475561.75|.00|76475561.75|76475562.00|.00|76475562.00|-.25
BYM/03/26/00078|48331787.49|48331787.49|.00|48331787.49|48331788.00|.00|48331788.00|-.51
BYM/03/26/00079|55544531.63|55544531.63|.00|55544531.63|55544532.00|.00|55544532.00|-.37
BYM/03/26/00119|46265341.36|46265341.00|.36|46265341.36|46265341.00|.00|46265341.00|.36
BYM/03/26/00120|88620347.48|88620347.00|.48|88620347.48|88620347.00|.00|88620347.00|.48
BYM/03/26/00121|52473999.06|52473999.00|.06|52473999.06|52473999.00|.00|52473999.00|.06
BYM/03/26/00132|39159535.80|39159535.80|.00|39159535.80|39159536.00|.00|39159536.00|-.20
BYM/03/26/00196|82415456.78|82415456.78|.00|82415456.78|82415457.00|.00|82415457.00|-.22
BYM/03/26/00197|160619144.53|160619144.00|.53|160619144.53|160619144.00|.00|160619144.00|.53
BYM/03/26/00198|144857508.45|144857508.00|.45|144857508.45|144857508.00|.00|144857508.00|.45
BYM/03/26/00214|89774313.90|89774313.90|.00|89774313.90|89774314.00|.00|89774314.00|-.10
BYM/03/26/00253|171948751.31|171948751.31|.00|171948751.31|171948752.00|.00|171948752.00|-.69
BYM/03/26/00285|246151418.91|246151418.91|.00|246151418.91|246151419.00|.00|246151419.00|-.09
BYM/03/26/00286|15506775.69|15506775.69|.00|15506775.69|15506776.00|.00|15506776.00|-.31
BYM/03/26/00287|28122252.12|28122252.00|.12|28122252.12|28122252.00|.00|28122252.00|.12
BYM/03/26/00316|38106123.51|38106123.51|.00|38106123.51|38106124.00|.00|38106124.00|-.49
BYM/04/26/00052|12351586.80|12351586.80|.00|12351586.80|12351587.00|.00|12351587.00|-.20
BYM/04/26/00063|42668371.90|42668371.90|.00|42668371.90|42668372.00|.00|42668372.00|-.10
BYM/04/26/00072|67893689.50|67893689.00|.50|67893689.50|67893689.00|.00|67893689.00|.50
BYM/04/26/00090|60346550.74|60346550.74|.00|60346550.74|60346551.00|.00|60346551.00|-.26
BYM/04/26/00091|49655187.33|49655187.33|.00|49655187.33|49655188.00|.00|49655188.00|-.67
BYM/04/26/00124|103562629.45|103562629.45|.00|103562629.45|103562630.00|.00|103562630.00|-.55
BYM/04/26/00162|121170870.10|121170870.00|.10|121170870.10|121170870.00|.00|121170870.00|.10
BYM/04/26/00181|98945660.80|98945660.80|.00|98945660.80|98945661.00|.00|98945661.00|-.20
BYM/04/26/00205|11173722.35|11173722.35|.00|11173722.35|11173723.00|.00|11173723.00|-.65
BYM/04/26/00206|10338497.75|10338497.75|.00|10338497.75|10338498.00|.00|10338498.00|-.25
BYM/04/26/00207|6380260.60|6380260.60|.00|6380260.60|6380261.00|.00|6380261.00|-.40
BYM/04/26/00250|118955058.25|118955058.25|.00|118955058.25|118955059.00|.00|118955059.00|-.75
BYM/04/26/00281|128658422.90|128658422.90|.00|128658422.90|128658423.00|.00|128658423.00|-.10
BYM/04/26/00348|212418388.35|212418388.35|.00|212418388.35|212418389.00|.00|212418389.00|-.65
BYM/04/26/00351|46594185.75|46594185.75|.00|46594185.75|46594186.00|.00|46594186.00|-.25
BYM/11/25/00148|134322617.10|134322617.00|.10|134322617.10|134322617.00|.00|134322617.00|.10
BYM/11/25/00208|96226817.40|96226817.00|.40|96226817.40|96226817.00|.00|96226817.00|.40
BYM/12/25/00081|5822171.18|5822171.00|.18|5822171.18|5822171.00|.00|5822171.00|.18
BYM/12/25/00114|8160587.40|8160587.00|.40|8160587.40|8160587.00|.00|8160587.00|.40
BYM/12/25/00199|114852305.77|114852305.00|.77|114852305.77|114852305.00|.00|114852305.00|.77
BYM/12/25/00211|128720052.04|128720052.00|.04|128720052.04|128720052.00|.00|128720052.00|.04
BYM/12/25/00307|118931707.30|118931707.00|.30|118931707.30|118931707.00|.00|118931707.00|.30
