bym|tagihan|transfer|pemb|HR_credit|GL_main|GL_96010|GL_total|beda
BYM/01/26/00120|85345745.10|85345745.00|.10|85345745.10|85345745.00|.00|85345745.00|.10
BYM/01/26/00223|79391211.20|79391211.00|.20|79391211.20|79391211.00|.00|79391211.00|.20
BYM/01/26/00333|74639975.20|74639975.00|.20|74639975.20|74639975.00|.00|74639975.00|.20
BYM/02/26/00015|25398606.10|25398606.00|.10|25398606.10|25398606.00|.00|25398606.00|.10
BYM/02/26/00126|65077681.06|65077681.00|.06|65077681.06|65077681.00|.00|65077681.00|.06
BYM/02/26/00150|29062665.38|29062665.00|.38|29062665.38|29062665.00|.00|29062665.00|.38
BYM/02/26/00180|50896392.12|50896392.00|.12|50896392.12|50896392.00|.00|50896392.00|.12
BYM/02/26/00196|93451755.32|93451755.00|.32|93451755.32|93451755.00|.00|93451755.00|.32
BYM/02/26/00242|105812013.41|105812013.00|.41|105812013.41|105812013.00|.00|105812013.00|.41
BYM/02/26/00249|57844009.02|57844009.00|.02|57844009.02|57844009.00|.00|57844009.00|.02
BYM/03/26/00002|62439482.35|62439482.35|.00|62439482.35|62439483.00|.00|62439483.00|-.65
BYM/03/26/00058|47754350.39|47754350.00|.39|47754350.39|47754350.00|.00|47754350.00|.39
BYM/03/26/00059|3907487.36|3907487.00|.36|3907487.36|3907487.00|.00|3907487.00|.36
BYM/03/26/00060|68566529.08|68566529.00|.08|68566529.08|68566529.00|.00|68566529.00|.08
BYM/03/26/00067|10683003.52|10683003.52|.00|10683003.52|10683004.00|.00|10683004.00|-.48
BYM/03/26/00103|61449109.54|61449109.54|.00|61449109.54|61449110.00|.00|61449110.00|-.46
BYM/03/26/00134|61725398.49|61725398.49|.00|61725398.49|61725399.00|.00|61725399.00|-.51
BYM/03/26/00165|53774243.46|53774243.00|.46|53774243.46|53774243.00|.00|53774243.00|.46
BYM/03/26/00200|41312756.28|41312756.28|.00|41312756.28|41312757.00|.00|41312757.00|-.72
BYM/03/26/00219|108084510.17|108084510.17|.00|108084510.17|108084511.00|.00|108084511.00|-.83
BYM/03/26/00220|43630766.20|43630766.00|.20|43630766.20|43630766.00|.00|43630766.00|.20
BYM/03/26/00271|77747160.26|77747160.00|.26|77747160.26|77747160.00|.00|77747160.00|.26
BYM/03/26/00311|15684635.40|15684635.00|.40|15684635.40|15684635.00|.00|15684635.00|.40
BYM/03/26/00312|29655124.38|29655124.00|.38|29655124.38|29655124.00|.00|29655124.00|.38
BYM/03/26/00313|23098935.16|23098935.00|.16|23098935.16|23098935.00|.00|23098935.00|.16
BYM/03/26/00317|40224903.60|40224903.60|.00|40224903.60|40224904.00|.00|40224904.00|-.40
BYM/03/26/00323|27614287.12|27614287.00|.12|27614287.12|27614287.00|.00|27614287.00|.12
BYM/04/26/00005|55377173.60|55377173.60|.00|55377173.60|55377174.00|.00|55377174.00|-.40
BYM/04/26/00017|38813953.50|38813953.00|.50|38813953.50|38813953.00|.00|38813953.00|.50
BYM/04/26/00039|31524265.15|31524265.15|.00|31524265.15|31524266.00|.00|31524266.00|-.85
BYM/04/26/00040|23818642.75|23818642.75|.00|23818642.75|23818643.00|.00|23818643.00|-.25
BYM/04/26/00041|62738357.85|62738357.85|.00|62738357.85|62738358.00|.00|62738358.00|-.15
BYM/04/26/00055|24861384.80|24861384.80|.00|24861384.80|24861385.00|.00|24861385.00|-.20
BYM/04/26/00098|47092113.95|47092113.95|.00|47092113.95|47092114.00|.00|47092114.00|-.05
BYM/04/26/00179|79623623.10|79623623.00|.10|79623623.10|79623623.00|.00|79623623.00|.10
BYM/04/26/00198|82386186.75|82386186.75|.00|82386186.75|82386187.00|.00|82386187.00|-.25
BYM/04/26/00218|47829951.05|47829951.05|.00|47829951.05|47829952.00|.00|47829952.00|-.95
BYM/04/26/00219|72365167.35|72365167.35|.00|72365167.35|72365168.00|.00|72365168.00|-.65
BYM/04/26/00230|70130380.25|70130380.25|.00|70130380.25|70130381.00|.00|70130381.00|-.75
BYM/04/26/00278|80541596.45|80541596.45|.00|80541596.45|80541597.00|.00|80541597.00|-.55
BYM/04/26/00314|58657196.85|58657196.85|.00|58657196.85|58657197.00|.00|58657197.00|-.15
BYM/04/26/00323|58394794.50|58394794.00|.50|58394794.50|58394794.00|.00|58394794.00|.50
BYM/12/25/00148|16188422.04|16188422.00|.04|16188422.04|16188422.00|.00|16188422.00|.04
BYM/12/25/00207|32915342.32|32915342.00|.32|32915342.32|32915342.00|.00|32915342.00|.32
