bym|tagihan|transfer|pemb|HR_credit|GL_main|GL_96010|GL_total|beda
BYM/01/26/00004|75655240.50|75655240.00|.50|75655240.50|75655240.00|.00|75655240.00|.50
BYM/01/26/00080|82353442.50|82353442.00|.50|82353442.50|82353442.00|.00|82353442.00|.50
BYM/01/26/00108|43146396.30|43146396.00|.30|43146396.30|43146396.00|.00|43146396.00|.30
BYM/01/26/00169|107301988.50|107301988.00|.50|107301988.50|107301988.00|.00|107301988.00|.50
BYM/01/26/00183|61251661.10|61251661.00|.10|61251661.10|61251661.00|.00|61251661.00|.10
BYM/01/26/00184|55091415.40|55091415.00|.40|55091415.40|55091415.00|.00|55091415.00|.40
BYM/02/26/00005|51690031.40|51690031.00|.40|51690031.40|51690031.00|.00|51690031.00|.40
BYM/02/26/00011|61902523.20|61902523.00|.20|61902523.20|61902523.00|.00|61902523.00|.20
BYM/02/26/00012|71693659.10|71693659.00|.10|71693659.10|71693659.00|.00|71693659.00|.10
BYM/02/26/00021|7642118.40|7642118.00|.40|7642118.40|7642118.00|.00|7642118.00|.40
BYM/02/26/00022|20805150.10|20805150.00|.10|20805150.10|20805150.00|.00|20805150.00|.10
BYM/02/26/00041|78852637.50|78852637.00|.50|78852637.50|78852637.00|.00|78852637.00|.50
BYM/02/26/00062|63216654.20|63216654.00|.20|63216654.20|63216654.00|.00|63216654.00|.20
BYM/02/26/00071|25872514.50|25872514.00|.50|25872514.50|25872514.00|.00|25872514.00|.50
BYM/02/26/00114|53746716.24|53746716.00|.24|53746716.24|53746716.00|.00|53746716.00|.24
BYM/02/26/00183|78047438.14|78047438.00|.14|78047438.14|78047438.00|.00|78047438.00|.14
BYM/02/26/00225|148825774.30|148825774.00|.30|148825774.30|148825774.00|.00|148825774.00|.30
BYM/03/26/00003|57901483.08|57901483.00|.08|57901483.08|57901483.00|.00|57901483.00|.08
BYM/03/26/00004|12692.96|12692.96|.00|12692.96|12693.00|.00|12693.00|-.04
BYM/03/26/00021|25822722.66|25822722.66|.00|25822722.66|25822723.00|.00|25822723.00|-.34
BYM/03/26/00039|63091172.55|63091172.55|.00|63091172.55|63091173.00|.00|63091173.00|-.45
BYM/03/26/00050|175804327.09|175804327.09|.00|175804327.09|175804328.00|.00|175804328.00|-.91
BYM/03/26/00082|113621767.42|113621767.00|.42|113621767.42|113621767.00|.00|113621767.00|.42
BYM/03/26/00086|20078622.20|20078622.00|.20|20078622.20|20078622.00|.00|20078622.00|.20
BYM/03/26/00100|36800508.22|36800508.00|.22|36800508.22|36800508.00|.00|36800508.00|.22
BYM/03/26/00101|80130174.32|80130174.00|.32|80130174.32|80130174.00|.00|80130174.00|.32
BYM/03/26/00154|93844324.21|93844324.21|.00|93844324.21|93844325.00|.00|93844325.00|-.79
BYM/03/26/00155|95512771.03|95512771.00|.03|95512771.03|95512771.00|.00|95512771.00|.03
BYM/03/26/00158|58719678.71|58719678.71|.00|58719678.71|58719679.00|.00|58719679.00|-.29
BYM/03/26/00175|87650708.04|87650708.00|.04|87650708.04|87650708.00|.00|87650708.00|.04
BYM/03/26/00176|100628925.46|100628925.00|.46|100628925.46|100628925.00|.00|100628925.00|.46
BYM/03/26/00177|33583114.08|33583114.00|.08|33583114.08|33583114.00|.00|33583114.00|.08
BYM/03/26/00201|76311448.01|76311448.01|.00|76311448.01|76311449.00|.00|76311449.00|-.99
BYM/03/26/00210|79240632.24|79240632.00|.24|79240632.24|79240632.00|.00|79240632.00|.24
BYM/03/26/00242|7620713.73|7620713.73|.00|7620713.73|7620714.00|.00|7620714.00|-.27
BYM/03/26/00243|64345001.70|64345001.70|.00|64345001.70|64345002.00|.00|64345002.00|-.30
BYM/03/26/00296|96396280.08|96396280.08|.00|96396280.08|96396281.00|.00|96396281.00|-.92
BYM/03/26/00324|156785628.79|156785628.79|.00|156785628.79|156785629.00|.00|156785629.00|-.21
BYM/03/26/00325|19692545.81|19692545.81|.00|19692545.81|19692546.00|.00|19692546.00|-.19
BYM/03/26/00326|23369352.44|23369352.00|.44|23369352.44|23369352.00|.00|23369352.00|.44
BYM/03/26/00328|74791506.72|74791506.72|.00|74791506.72|74791507.00|.00|74791507.00|-.28
BYM/03/26/00329|189795977.21|189795977.21|.00|189795977.21|189795978.00|.00|189795978.00|-.79
BYM/03/26/00330|96141683.33|96141683.33|.00|96141683.33|96141684.00|.00|96141684.00|-.67
BYM/03/26/00331|48790322.14|48790322.00|.14|48790322.14|48790322.00|.00|48790322.00|.14
BYM/03/26/00345|55458797.80|55458797.80|.00|55458797.80|55458798.00|.00|55458798.00|-.20
BYM/04/26/00009|66342706.22|66342706.00|.22|66342706.22|66342706.00|.00|66342706.00|.22
BYM/04/26/00011|23771972.70|23771972.70|.00|23771972.70|23771973.00|.00|23771973.00|-.30
BYM/04/26/00018|31201128.28|31201128.00|.28|31201128.28|31201128.00|.00|31201128.00|.28
BYM/04/26/00019|88672041.50|88672041.00|.50|88672041.50|88672041.00|.00|88672041.00|.50
BYM/04/26/00035|54276315.10|54276315.00|.10|54276315.10|54276315.00|.00|54276315.00|.10
BYM/04/26/00036|75265950.20|75265950.00|.20|75265950.20|75265950.00|.00|75265950.00|.20
BYM/04/26/00037|37434880.35|37434880.35|.00|37434880.35|37434881.00|.00|37434881.00|-.65
BYM/04/26/00060|131269914.65|131269914.65|.00|131269914.65|131269915.00|.00|131269915.00|-.35
BYM/04/26/00061|36426386.85|36426386.85|.00|36426386.85|36426387.00|.00|36426387.00|-.15
BYM/04/26/00062|77590309.30|77590309.00|.30|77590309.30|77590309.00|.00|77590309.00|.30
BYM/04/26/00074|39338650.40|39338650.00|.40|39338650.40|39338650.00|.00|39338650.00|.40
BYM/04/26/00075|74609026.80|74609026.80|.00|74609026.80|74609027.00|.00|74609027.00|-.20
BYM/04/26/00086|70961721.60|70961721.60|.00|70961721.60|70961722.00|.00|70961722.00|-.40
BYM/04/26/00100|49229089.70|49229089.70|.00|49229089.70|49229090.00|.00|49229090.00|-.30
BYM/04/26/00113|37170733.60|37170733.60|.00|37170733.60|37170734.00|.00|37170734.00|-.40
BYM/04/26/00121|104915757.10|104915757.00|.10|104915757.10|104915757.00|.00|104915757.00|.10
BYM/04/26/00157|39681968.90|39681968.90|.00|39681968.90|39681969.00|.00|39681969.00|-.10
BYM/04/26/00158|140019905.90|140019905.90|.00|140019905.90|140019906.00|.00|140019906.00|-.10
BYM/04/26/00159|88554838.40|88554838.00|.40|88554838.40|88554838.00|.00|88554838.00|.40
BYM/04/26/00160|72314168.15|72314168.15|.00|72314168.15|72314169.00|.00|72314169.00|-.85
BYM/04/26/00200|85678447.75|85678447.75|.00|85678447.75|85678448.00|.00|85678448.00|-.25
BYM/04/26/00209|73921816.50|73921816.00|.50|73921816.50|73921816.00|.00|73921816.00|.50
BYM/04/26/00210|103071137.40|103071137.00|.40|103071137.40|103071137.00|.00|103071137.00|.40
BYM/04/26/00213|190734986.75|190734986.75|.00|190734986.75|190734987.00|.00|190734987.00|-.25
BYM/04/26/00221|28351414.70|28351414.70|.00|28351414.70|28351415.00|.00|28351415.00|-.30
BYM/04/26/00231|47006503.60|47006503.60|.00|47006503.60|47006504.00|.00|47006504.00|-.40
BYM/04/26/00236|59459243.55|59459243.55|.00|59459243.55|59459244.00|.00|59459244.00|-.45
BYM/04/26/00237|63034457.50|63034457.00|.50|63034457.50|63034457.00|.00|63034457.00|.50
BYM/04/26/00251|42429648.80|42429648.80|.00|42429648.80|42429649.00|.00|42429649.00|-.20
BYM/04/26/00252|51221260.65|51221260.65|.00|51221260.65|51221261.00|.00|51221261.00|-.35
BYM/04/26/00253|60364120.21|60364120.21|.00|60364120.21|60364121.00|.00|60364121.00|-.79
BYM/04/26/00254|52922344.65|52922344.65|.00|52922344.65|52922345.00|.00|52922345.00|-.35
BYM/04/26/00269|67672491.25|67672491.25|.00|67672491.25|67672492.00|.00|67672492.00|-.75
BYM/04/26/00290|32100796.70|32100796.70|.00|32100796.70|32100797.00|.00|32100797.00|-.30
BYM/04/26/00291|42150640.35|42150640.35|.00|42150640.35|42150641.00|.00|42150641.00|-.65
BYM/04/26/00299|23071902.35|23071902.35|.00|23071902.35|23071903.00|.00|23071903.00|-.65
BYM/04/26/00305|82661654.95|82661654.95|.00|82661654.95|82661655.00|.00|82661655.00|-.05
BYM/04/26/00316|85935264.10|85935264.00|.10|85935264.10|85935264.00|.00|85935264.00|.10
BYM/04/26/00332|84723202.55|84723202.55|.00|84723202.55|84723203.00|.00|84723203.00|-.45
BYM/04/26/00333|77289040.15|77289040.15|.00|77289040.15|77289041.00|.00|77289041.00|-.85
BYM/04/26/00339|28566108.20|28566108.00|.20|28566108.20|28566108.00|.00|28566108.00|.20
BYM/04/26/00340|41598728.85|41598728.85|.00|41598728.85|41598729.00|.00|41598729.00|-.15
BYM/04/26/00342|75768788.20|75768788.00|.20|75768788.20|75768788.00|.00|75768788.00|.20
BYM/06/26/00001|96160902.60|96160902.60|.00|96160902.60|96160902.60|-.40|96160902.20|.40
BYM/10/25/00007|83030867.50|83030867.00|.50|83030867.50|83030867.00|.00|83030867.00|.50
BYM/10/25/00009|11674671.40|11674671.00|.40|11674671.40|11674671.00|.00|11674671.00|.40
BYM/10/25/00020|59957081.10|59957081.00|.10|59957081.10|59957081.00|.00|59957081.00|.10
BYM/11/25/00007|61160604.40|61160604.00|.40|61160604.40|61160604.00|.00|61160604.00|.40
BYM/11/25/00010|46469042.20|46469042.00|.20|46469042.20|46469042.00|.00|46469042.00|.20
BYM/11/25/00044|67301338.30|67301338.00|.30|67301338.30|67301338.00|.00|67301338.00|.30
BYM/11/25/00104|77220643.50|77220643.00|.50|77220643.50|77220643.00|.00|77220643.00|.50
BYM/11/25/00160|61367341.40|61367341.00|.40|61367341.40|61367341.00|.00|61367341.00|.40
BYM/11/25/00161|45693617.20|45693617.00|.20|45693617.20|45693617.00|.00|45693617.00|.20
BYM/11/25/00213|74192071.10|74192071.00|.10|74192071.10|74192071.00|.00|74192071.00|.10
BYM/12/25/00050|28531751.36|28531751.00|.36|28531751.36|28531751.00|.00|28531751.00|.36
BYM/12/25/00060|66714953.34|66714953.00|.34|66714953.34|66714953.00|.00|66714953.00|.34
BYM/12/25/00064|71637836.34|71637836.00|.34|71637836.34|71637836.00|.00|71637836.00|.34
BYM/12/25/00070|47409299.28|47409299.00|.28|47409299.28|47409299.00|.00|47409299.00|.28
BYM/12/25/00097|94616323.09|94616323.00|.09|94616323.09|94616323.00|.00|94616323.00|.09
BYM/12/25/00113|58239423.34|58239423.00|.34|58239423.34|58239423.00|.00|58239423.00|.34
BYM/12/25/00145|8159617.20|8159617.00|.20|8159617.20|8159617.00|.00|8159617.00|.20
BYM/12/25/00218|45301918.06|45301918.00|.06|45301918.06|45301918.00|.00|45301918.00|.06
BYM/12/25/00241|57615743.50|57615743.00|.50|57615743.50|57615743.00|.00|57615743.00|.50
BYM/12/25/00311|127403944.50|127403944.00|.50|127403944.50|127403944.00|.00|127403944.00|.50
BYM/12/25/00315|69530490.40|69530490.00|.40|69530490.40|69530490.00|.00|69530490.00|.40
