bym|tagihan|transfer|pemb|HR_credit|GL_main|GL_96010|GL_total|beda
BYM/01/26/00020|108741427.20|108741427.00|.20|108741427.20|108741427.00|.00|108741427.00|.20
BYM/01/26/00233|442365990.15|442365990.00|.15|442365990.15|442365990.00|.00|442365990.00|.15
BYM/01/26/00245|74732639.10|74732639.00|.10|74732639.10|74732639.00|.00|74732639.00|.10
BYM/02/26/00073|194144987.40|194144987.00|.40|194144987.40|194144987.00|.00|194144987.00|.40
BYM/02/26/00223|103789286.30|103789286.00|.30|103789286.30|103789286.00|.00|103789286.00|.30
BYM/02/26/00226|247505458.20|247505458.00|.20|247505458.20|247505458.00|.00|247505458.00|.20
BYM/02/26/00231|177136959.02|177136959.00|.02|177136959.02|177136959.00|.00|177136959.00|.02
BYM/02/26/00261|301010940.09|301010940.00|.09|301010940.09|301010940.00|.00|301010940.00|.09
BYM/02/26/00270|32717669.46|32717669.00|.46|32717669.46|32717669.00|.00|32717669.00|.46
BYM/03/26/00006|376095704.34|376095704.34|.00|376095704.34|376095705.00|.00|376095705.00|-.66
BYM/03/26/00007|390546366.45|390546366.00|.45|390546366.45|390546366.00|.00|390546366.00|.45
BYM/03/26/00042|368005376.38|368005376.38|.00|368005376.38|368005377.00|.00|368005377.00|-.62
BYM/03/26/00043|101712341.43|101712341.43|.00|101712341.43|101712342.00|.00|101712342.00|-.57
BYM/03/26/00080|177183459.86|177183459.86|.00|177183459.86|177183460.00|.00|177183460.00|-.14
BYM/03/26/00104|120474950.05|120474950.05|.00|120474950.05|120474951.00|.00|120474951.00|-.95
BYM/03/26/00105|33833584.68|33833584.68|.00|33833584.68|33833585.00|.00|33833585.00|-.32
BYM/03/26/00111|34171286.80|34171286.80|.00|34171286.80|34171287.00|.00|34171287.00|-.20
BYM/03/26/00129|527055.27|527055.27|.00|527055.27|527056.00|.00|527056.00|-.73
BYM/03/26/00130|91779453.43|91779453.43|.00|91779453.43|91779454.00|.00|91779454.00|-.57
BYM/03/26/00173|97332098.64|97332098.64|.00|97332098.64|97332099.00|.00|97332099.00|-.36
BYM/03/26/00174|83115679.15|83115679.15|.00|83115679.15|83115680.00|.00|83115680.00|-.85
BYM/03/26/00205|84953752.94|84953752.94|.00|84953752.94|84953753.00|.00|84953753.00|-.06
BYM/03/26/00206|52382869.11|52382869.00|.11|52382869.11|52382869.00|.00|52382869.00|.11
BYM/03/26/00207|422901496.22|422901496.00|.22|422901496.22|422901496.00|.00|422901496.00|.22
BYM/03/26/00208|49996942.73|49996942.73|.00|49996942.73|49996943.00|.00|49996943.00|-.27
BYM/03/26/00209|135773533.07|135773533.07|.00|135773533.07|135773534.00|.00|135773534.00|-.93
BYM/03/26/00256|50412594.05|50412594.05|.00|50412594.05|50412595.00|.00|50412595.00|-.95
BYM/03/26/00258|335428162.30|335428162.00|.30|335428162.30|335428162.00|.00|335428162.00|.30
BYM/03/26/00314|380455656.84|380455656.84|.00|380455656.84|380455657.00|.00|380455657.00|-.16
BYM/03/26/00315|263720548.98|263720548.98|.00|263720548.98|263720549.00|.00|263720549.00|-.02
BYM/03/26/00322|177347730.38|177347730.00|.38|177347730.38|177347730.00|.00|177347730.00|.38
BYM/03/26/00332|54363238.16|54363238.00|.16|54363238.16|54363238.00|.00|54363238.00|.16
BYM/03/26/00333|34023858.05|34023858.05|.00|34023858.05|34023859.00|.00|34023859.00|-.95
BYM/03/26/00334|79581269.46|79581269.00|.46|79581269.46|79581269.00|.00|79581269.00|.46
BYM/03/26/00339|182116271.11|182116271.00|.11|182116271.11|182116271.00|.00|182116271.00|.11
BYM/04/26/00012|168606488.26|168606488.00|.26|168606488.26|168606488.00|.00|168606488.00|.26
