bym|tagihan|transfer|pemb|HR_credit|GL_main|GL_96010|GL_total|beda
BYM/01/26/00015|170068363.21|170068363.00|.21|170068363.21|170068363.00|.00|170068363.00|.21
BYM/01/26/00073|189723917.57|189723917.00|.57|189723917.57|189723917.00|.00|189723917.00|.57
BYM/01/26/00089|114447918.20|114447918.00|.20|114447918.20|114447918.00|.00|114447918.00|.20
BYM/01/26/00117|97421236.50|97421236.00|.50|97421236.50|97421236.00|.00|97421236.00|.50
BYM/01/26/00145|132080607.40|132080607.00|.40|132080607.40|132080607.00|.00|132080607.00|.40
BYM/01/26/00162|250212421.15|250212421.00|.15|250212421.15|250212421.00|.00|250212421.00|.15
BYM/01/26/00164|46476980.20|46476980.00|.20|46476980.20|46476980.00|.00|46476980.00|.20
BYM/01/26/00217|75123840.40|75123840.00|.40|75123840.40|75123840.00|.00|75123840.00|.40
BYM/01/26/00229|76524231.13|76524231.00|.13|76524231.13|76524231.00|.00|76524231.00|.13
BYM/01/26/00252|87365554.50|87365554.00|.50|87365554.50|87365554.00|.00|87365554.00|.50
BYM/01/26/00253|274763526.10|274763526.00|.10|274763526.10|274763526.00|.00|274763526.00|.10
BYM/01/26/00308|56915592.30|56915592.00|.30|56915592.30|56915592.00|.00|56915592.00|.30
BYM/02/26/00024|47020777.30|47020777.00|.30|47020777.30|47020777.00|.00|47020777.00|.30
BYM/02/26/00042|90294872.50|90294872.00|.50|90294872.50|90294872.00|.00|90294872.00|.50
BYM/02/26/00078|65174062.10|65174062.00|.10|65174062.10|65174062.00|.00|65174062.00|.10
BYM/02/26/00079|63728395.50|63728395.00|.50|63728395.50|63728395.00|.00|63728395.00|.50
BYM/02/26/00081|74623268.16|74623268.00|.16|74623268.16|74623268.00|.00|74623268.00|.16
BYM/02/26/00104|51173732.12|51173732.00|.12|51173732.12|51173732.00|.00|51173732.00|.12
BYM/02/26/00105|57833360.34|57833360.00|.34|57833360.34|57833360.00|.00|57833360.00|.34
BYM/02/26/00127|57383049.24|57383049.00|.24|57383049.24|57383049.00|.00|57383049.00|.24
BYM/02/26/00145|46950415.26|46950415.00|.26|46950415.26|46950415.00|.00|46950415.00|.26
BYM/02/26/00185|97401454.22|97401454.00|.22|97401454.22|97401454.00|.00|97401454.00|.22
BYM/02/26/00236|77072625.65|77072625.00|.65|77072625.65|77072625.00|.00|77072625.00|.65
