bym|tagihan|transfer|pemb|HR_credit|GL_main|GL_96010|GL_total|beda
BYM/01/26/00155|63814302.30|63814302.00|.30|63814302.30|63814302.00|.00|63814302.00|.30
BYM/02/26/00169|70755144.10|70755144.00|.10|70755144.10|70755144.00|.00|70755144.00|.10
BYM/02/26/00182|69966509.06|69966509.00|.06|69966509.06|69966509.00|.00|69966509.00|.06
BYM/02/26/00191|31137293.04|31137293.00|.04|31137293.04|31137293.00|.00|31137293.00|.04
BYM/02/26/00310|88303385.10|88303385.00|.10|88303385.10|88303385.00|.00|88303385.00|.10
BYM/03/26/00011|41539347.71|41539347.71|.00|41539347.71|41539348.00|.00|41539348.00|-.29
BYM/03/26/00031|45876112.80|45876112.80|.00|45876112.80|45876113.00|.00|45876113.00|-.20
BYM/03/26/00131|194082029.26|194082029.00|.26|194082029.26|194082029.00|.00|194082029.00|.26
BYM/03/26/00221|237242813.43|237242813.43|.00|237242813.43|237242814.00|.00|237242814.00|-.57
BYM/03/26/00222|1223727.47|1223727.47|.00|1223727.47|1223728.00|.00|1223728.00|-.53
BYM/03/26/00259|37178253.88|37178253.88|.00|37178253.88|37178254.00|.00|37178254.00|-.12
BYM/03/26/00261|13707076.25|13707076.25|.00|13707076.25|13707077.00|.00|13707077.00|-.75
BYM/03/26/00262|30399811.19|30399811.19|.00|30399811.19|30399812.00|.00|30399812.00|-.81
BYM/03/26/00302|80250591.33|80250591.33|.00|80250591.33|80250592.00|.00|80250592.00|-.67
BYM/03/26/00336|43217487.95|43217487.95|.00|43217487.95|43217488.00|.00|43217488.00|-.05
BYM/04/26/00007|8225752.01|8225752.01|.00|8225752.01|8225753.00|.00|8225753.00|-.99
BYM/04/26/00077|109563997.55|109563997.55|.00|109563997.55|109563998.00|.00|109563998.00|-.45
BYM/04/26/00122|38152002.70|38152002.70|.00|38152002.70|38152003.00|.00|38152003.00|-.30
BYM/04/26/00266|25474082.76|25474082.76|.00|25474082.76|25474083.00|.00|25474083.00|-.24
BYM/04/26/00289|21416474.59|21416474.59|.00|21416474.59|21416475.00|.00|21416475.00|-.41
BYM/04/26/00307|44201189.90|44201189.90|.00|44201189.90|44201190.00|.00|44201190.00|-.10
BYM/11/25/00238|38813615.40|38813615.00|.40|38813615.40|38813615.00|.00|38813615.00|.40
