bym|tagihan|transfer|pemb|HR_credit|GL_main|GL_96010|GL_total|beda
BYM/01/26/00010|202044140.20|202044140.00|.20|202044140.20|202044140.00|.00|202044140.00|.20
BYM/01/26/00013|105816666.20|105816666.00|.20|105816666.20|105816666.00|.00|105816666.00|.20
BYM/01/26/00053|134244638.50|134244638.00|.50|134244638.50|134244638.00|.00|134244638.00|.50
BYM/01/26/00130|34307433.30|34307433.00|.30|34307433.30|34307433.00|.00|34307433.00|.30
BYM/01/26/00131|31256693.30|31256693.00|.30|31256693.30|31256693.00|.00|31256693.00|.30
BYM/01/26/00214|24749826.50|24749826.00|.50|24749826.50|24749826.00|.00|24749826.00|.50
BYM/01/26/00304|147630899.50|147630899.00|.50|147630899.50|147630899.00|.00|147630899.00|.50
BYM/01/26/00332|29330988.40|29330988.00|.40|29330988.40|29330988.00|.00|29330988.00|.40
BYM/02/26/00026|59479517.30|59479517.00|.30|59479517.30|59479517.00|.00|59479517.00|.30
BYM/02/26/00030|43655462.20|43655462.00|.20|43655462.20|43655462.00|.00|43655462.00|.20
BYM/02/26/00158|66779645.10|66779645.00|.10|66779645.10|66779645.00|.00|66779645.00|.10
BYM/02/26/00251|732386634.16|732386634.00|.16|732386634.16|732386634.00|.00|732386634.00|.16
BYM/03/26/00026|99784764.73|99784764.73|.00|99784764.73|99784765.00|.00|99784765.00|-.27
BYM/03/26/00027|200325592.11|200325592.11|.00|200325592.11|200325593.00|.00|200325593.00|-.89
BYM/03/26/00049|116070870.79|116070870.79|.00|116070870.79|116070871.00|.00|116070871.00|-.21
BYM/03/26/00098|62286145.67|62286145.67|.00|62286145.67|62286146.00|.00|62286146.00|-.33
BYM/03/26/00099|147733773.04|147733773.00|.04|147733773.04|147733773.00|.00|147733773.00|.04
BYM/03/26/00113|119241040.38|119241040.00|.38|119241040.38|119241040.00|.00|119241040.00|.38
BYM/03/26/00115|17294005.61|17294005.61|.00|17294005.61|17294006.00|.00|17294006.00|-.39
BYM/03/26/00138|473113999.26|473113999.00|.26|473113999.26|473113999.00|.00|473113999.00|.26
BYM/03/26/00144|100072555.45|100072555.45|.00|100072555.45|100072556.00|.00|100072556.00|-.55
BYM/03/26/00145|145428172.12|145428172.00|.12|145428172.12|145428172.00|.00|145428172.00|.12
BYM/03/26/00162|27743668.68|27743668.68|.00|27743668.68|27743669.00|.00|27743669.00|-.32
BYM/03/26/00163|83516823.04|83516823.00|.04|83516823.04|83516823.00|.00|83516823.00|.04
BYM/03/26/00164|20502203.68|20502203.68|.00|20502203.68|20502204.00|.00|20502204.00|-.32
BYM/03/26/00241|35683114.18|35683114.00|.18|35683114.18|35683114.00|.00|35683114.00|.18
BYM/03/26/00276|499428133.25|499428133.00|.25|499428133.25|499428133.00|.00|499428133.00|.25
BYM/03/26/00308|85166284.07|85166284.07|.00|85166284.07|85166285.00|.00|85166285.00|-.93
BYM/03/26/00335|57019545.31|57019545.31|.00|57019545.31|57019546.00|.00|57019546.00|-.69
BYM/04/26/00010|123956380.45|123956380.45|.00|123956380.45|123956381.00|.00|123956381.00|-.55
BYM/04/26/00016|142419206.09|142419206.00|.09|142419206.09|142419206.00|.00|142419206.00|.09
BYM/04/26/00023|28611396.45|28611396.45|.00|28611396.45|28611397.00|.00|28611397.00|-.55
BYM/04/26/00024|6382038.81|6382038.81|.00|6382038.81|6382039.00|.00|6382039.00|-.19
BYM/04/26/00025|43334928.70|43334928.70|.00|43334928.70|43334929.00|.00|43334929.00|-.30
BYM/04/26/00047|46631190.55|46631190.55|.00|46631190.55|46631191.00|.00|46631191.00|-.45
BYM/04/26/00066|75147088.45|75147088.45|.00|75147088.45|75147089.00|.00|75147089.00|-.55
BYM/04/26/00093|62758381.70|62758381.70|.00|62758381.70|62758382.00|.00|62758382.00|-.30
BYM/04/26/00116|121001528.55|121001528.55|.00|121001528.55|121001529.00|.00|121001529.00|-.45
BYM/04/26/00127|48279974.40|48279974.00|.40|48279974.40|48279974.00|.00|48279974.00|.40
BYM/04/26/00232|165622212.35|165622212.35|.00|165622212.35|165622213.00|.00|165622213.00|-.65
BYM/04/26/00239|64029333.90|64029333.90|.00|64029333.90|64029334.00|.00|64029334.00|-.10
BYM/04/26/00282|68580495.55|68580495.55|.00|68580495.55|68580496.00|.00|68580496.00|-.45
BYM/04/26/00283|117661782.26|117661782.26|.00|117661782.26|117661783.00|.00|117661783.00|-.74
BYM/04/26/00317|133511003.15|133511003.15|.00|133511003.15|133511004.00|.00|133511004.00|-.85
BYM/04/26/00337|97619813.90|97619813.90|.00|97619813.90|97619814.00|.00|97619814.00|-.10
BYM/11/25/00049|151301543.40|151301543.00|.40|151301543.40|151301543.00|.00|151301543.00|.40
BYM/11/25/00121|110209325.10|110209325.00|.10|110209325.10|110209325.00|.00|110209325.00|.10
BYM/11/25/00133|386991585.05|386991585.00|.05|386991585.05|386991585.00|.00|386991585.00|.05
BYM/11/25/00157|25410052.50|25410052.00|.50|25410052.50|25410052.00|.00|25410052.00|.50
BYM/11/25/00164|108450009.50|108450009.00|.50|108450009.50|108450009.00|.00|108450009.00|.50
BYM/11/25/00165|7105529.20|7105529.00|.20|7105529.20|7105529.00|.00|7105529.00|.20
BYM/11/25/00219|371435614.38|371435614.00|.38|371435614.38|371435614.00|.00|371435614.00|.38
BYM/12/25/00001|68269199.41|68269199.00|.41|68269199.41|68269199.00|.00|68269199.00|.41
BYM/12/25/00062|56453095.02|56453095.00|.02|56453095.02|56453095.00|.00|56453095.00|.02
BYM/12/25/00260|654333829.31|654333829.00|.31|654333829.31|654333829.00|.00|654333829.00|.31
BYM/12/25/00297|725135116.44|725135116.00|.44|725135116.44|725135116.00|.00|725135116.00|.44
