bym|tagihan|transfer|pemb|HR_credit|GL_main|GL_96010|GL_total|beda
BYM/01/26/00054|122631943.04|122631943.00|.04|122631943.04|122631943.00|.00|122631943.00|.04
BYM/01/26/00175|85259877.50|85259877.00|.50|85259877.50|85259877.00|.00|85259877.00|.50
BYM/02/26/00016|26157263.30|26157263.00|.30|26157263.30|26157263.00|.00|26157263.00|.30
BYM/02/26/00017|9735589.50|9735589.00|.50|9735589.50|9735589.00|.00|9735589.00|.50
BYM/02/26/00202|96557567.16|96557567.00|.16|96557567.16|96557567.00|.00|96557567.00|.16
BYM/02/26/00257|41066147.12|41066147.00|.12|41066147.12|41066147.00|.00|41066147.00|.12
BYM/03/26/00032|9652176.31|9652176.31|.00|9652176.31|9652177.00|.00|9652177.00|-.69
BYM/03/26/00091|37071368.46|37071368.00|.46|37071368.46|37071368.00|.00|37071368.00|.46
BYM/03/26/00143|16839552.42|16839552.42|.00|16839552.42|16839553.00|.00|16839553.00|-.58
BYM/03/26/00213|135518039.72|135518039.72|.00|135518039.72|135518040.00|.00|135518040.00|-.28
BYM/03/26/00240|70925366.30|70925366.30|.00|70925366.30|70925367.00|.00|70925367.00|-.70
BYM/03/26/00263|124101273.14|124644920.86|.00|124644920.86|124101273.14|.00|124101273.14|543647.72
BYM/04/26/00022|20064132.20|20064132.00|.20|20064132.20|20064132.00|.00|20064132.00|.20
BYM/04/26/00034|9347559.85|9347559.00|.85|9347559.85|9347559.00|.00|9347559.00|.85
BYM/04/26/00094|32457901.11|32457901.00|.11|32457901.11|32457901.00|.00|32457901.00|.11
BYM/04/26/00145|18004035.70|18004035.70|.00|18004035.70|18004036.00|.00|18004036.00|-.30
BYM/04/26/00249|28306035.80|28306035.80|.00|28306035.80|28306036.00|.00|28306036.00|-.20
