bym|tagihan|transfer|pemb|HR_credit|GL_main|GL_96010|GL_total|beda
BYM/01/26/00011|129725324.40|129725324.00|.40|129725324.40|129725324.00|.00|129725324.00|.40
BYM/01/26/00100|27693740.48|27693740.00|.48|27693740.48|27693740.00|.00|27693740.00|.48
BYM/01/26/00146|23063692.40|23063692.00|.40|23063692.40|23063692.00|.00|23063692.00|.40
BYM/01/26/00152|14353359.30|14353359.00|.30|14353359.30|14353359.00|.00|14353359.00|.30
BYM/01/26/00247|68619139.40|68619139.00|.40|68619139.40|68619139.00|.00|68619139.00|.40
BYM/01/26/00250|29684484.20|29684484.00|.20|29684484.20|29684484.00|.00|29684484.00|.20
BYM/01/26/00315|102284344.40|102284344.00|.40|102284344.40|102284344.00|.00|102284344.00|.40
BYM/02/26/00006|17026691.50|17026691.00|.50|17026691.50|17026691.00|.00|17026691.00|.50
BYM/02/26/00076|56226258.34|56226258.00|.34|56226258.34|56226258.00|.00|56226258.00|.34
BYM/02/26/00138|80089358.30|80089358.00|.30|80089358.30|80089358.00|.00|80089358.00|.30
BYM/02/26/00143|43294230.28|43294230.00|.28|43294230.28|43294230.00|.00|43294230.00|.28
BYM/02/26/00256|78343174.21|78343174.00|.21|78343174.21|78343174.00|.00|78343174.00|.21
BYM/02/26/00292|3529935.50|3529935.00|.50|3529935.50|3529935.00|.00|3529935.00|.50
BYM/02/26/00299|55680628.15|55680628.00|.15|55680628.15|55680628.00|.00|55680628.00|.15
BYM/03/26/00010|37027414.48|37027414.00|.48|37027414.48|37027414.00|.00|37027414.00|.48
BYM/03/26/00022|5562396.70|5562396.70|.00|5562396.70|5562397.00|.00|5562397.00|-.30
BYM/03/26/00030|130280560.55|130280560.55|.00|130280560.55|130280561.00|.00|130280561.00|-.45
BYM/03/26/00051|30030992.60|30030992.60|.00|30030992.60|30030993.00|.00|30030993.00|-.40
BYM/03/26/00061|18922264.34|18922264.00|.34|18922264.34|18922264.00|.00|18922264.00|.34
BYM/03/26/00072|30137660.21|30137660.21|.00|30137660.21|30137661.00|.00|30137661.00|-.79
BYM/03/26/00110|90801836.30|90801836.00|.30|90801836.30|90801836.00|.00|90801836.00|.30
BYM/03/26/00137|100655465.82|100655465.82|.00|100655465.82|100655466.00|.00|100655466.00|-.18
BYM/03/26/00156|52634258.95|52634258.95|.00|52634258.95|52634259.00|.00|52634259.00|-.05
BYM/03/26/00157|118149303.72|118149303.72|.00|118149303.72|118149304.00|.00|118149304.00|-.28
BYM/03/26/00189|70181471.08|70181471.00|.08|70181471.08|70181471.00|.00|70181471.00|.08
