bym|tagihan|transfer|pemb|HR_credit|GL_main|GL_96010|GL_total|beda
BYM/01/26/00021|23470794.20|23470794.00|.20|23470794.20|23470794.00|.00|23470794.00|.20
BYM/01/26/00092|184012713.50|184012713.00|.50|184012713.50|184012713.00|.00|184012713.00|.50
BYM/01/26/00093|211229616.50|211229616.00|.50|211229616.50|211229616.00|.00|211229616.00|.50
BYM/01/26/00094|54033471.10|54033471.00|.10|54033471.10|54033471.00|.00|54033471.00|.10
BYM/01/26/00105|90051705.10|90051705.00|.10|90051705.10|90051705.00|.00|90051705.00|.10
BYM/01/26/00192|51867308.50|51867308.00|.50|51867308.50|51867308.00|.00|51867308.00|.50
BYM/01/26/00231|29603956.40|29603956.00|.40|29603956.40|29603956.00|.00|29603956.00|.40
BYM/01/26/00251|289009673.40|289009673.00|.40|289009673.40|289009673.00|.00|289009673.00|.40
BYM/01/26/00287|60091586.10|60091586.00|.10|60091586.10|60091586.00|.00|60091586.00|.10
BYM/01/26/00292|98699372.10|98699372.00|.10|98699372.10|98699372.00|.00|98699372.00|.10
BYM/02/26/00031|56691995.50|56691995.00|.50|56691995.50|56691995.00|.00|56691995.00|.50
BYM/02/26/00033|247736047.30|247736047.00|.30|247736047.30|247736047.00|.00|247736047.00|.30
BYM/02/26/00065|150862214.30|150862214.00|.30|150862214.30|150862214.00|.00|150862214.00|.30
BYM/02/26/00125|98718334.12|98718334.00|.12|98718334.12|98718334.00|.00|98718334.00|.12
BYM/02/26/00131|74771886.14|74771886.00|.14|74771886.14|74771886.00|.00|74771886.00|.14
BYM/02/26/00132|27183915.22|27183915.00|.22|27183915.22|27183915.00|.00|27183915.00|.22
BYM/02/26/00142|313341704.34|313341704.00|.34|313341704.34|313341704.00|.00|313341704.00|.34
BYM/02/26/00151|55065314.01|55065314.00|.01|55065314.01|55065314.00|.00|55065314.00|.01
BYM/02/26/00179|96914500.21|96914500.00|.21|96914500.21|96914500.00|.00|96914500.00|.21
BYM/02/26/00284|413642376.35|413642376.00|.35|413642376.35|413642376.00|.00|413642376.00|.35
BYM/02/26/00307|43885020.34|43885020.00|.34|43885020.34|43885020.00|.00|43885020.00|.34
BYM/03/26/00001|168154991.48|168154991.00|.48|168154991.48|168154991.00|.00|168154991.00|.48
BYM/03/26/00018|41724245.78|41724245.78|.00|41724245.78|41724246.00|.00|41724246.00|-.22
BYM/03/26/00024|73479156.87|73479156.87|.00|73479156.87|73479157.00|.00|73479157.00|-.13
BYM/03/26/00045|197372721.77|197372721.77|.00|197372721.77|197372722.00|.00|197372722.00|-.23
BYM/03/26/00046|202435501.24|202435501.00|.24|202435501.24|202435501.00|.00|202435501.00|.24
BYM/03/26/00047|190161301.61|190161301.61|.00|190161301.61|190161302.00|.00|190161302.00|-.39
BYM/03/26/00048|72350188.54|72350188.54|.00|72350188.54|72350189.00|.00|72350189.00|-.46
BYM/03/26/00075|41380710.21|41380710.21|.00|41380710.21|41380711.00|.00|41380711.00|-.79
BYM/03/26/00076|64284727.78|64284727.78|.00|64284727.78|64284728.00|.00|64284728.00|-.22
BYM/03/26/00077|95422224.17|95422224.17|.00|95422224.17|95422225.00|.00|95422225.00|-.83
BYM/03/26/00093|61516602.63|61516602.63|.00|61516602.63|61516603.00|.00|61516603.00|-.37
BYM/03/26/00094|21193978.82|21193978.82|.00|21193978.82|21193979.00|.00|21193979.00|-.18
BYM/03/26/00095|75052222.37|75052222.00|.37|75052222.37|75052222.00|.00|75052222.00|.37
BYM/03/26/00096|239359631.81|239359631.81|.00|239359631.81|239359632.00|.00|239359632.00|-.19
BYM/03/26/00107|76551735.19|76551735.19|.00|76551735.19|76551736.00|.00|76551736.00|-.81
BYM/03/26/00108|36126838.58|36126838.58|.00|36126838.58|36126839.00|.00|36126839.00|-.42
BYM/03/26/00109|125850140.78|125850140.78|.00|125850140.78|125850141.00|.00|125850141.00|-.22
BYM/03/26/00149|204393810.74|204393810.74|.00|204393810.74|204393811.00|.00|204393811.00|-.26
BYM/03/26/00167|104332360.65|104332360.65|.00|104332360.65|104332361.00|.00|104332361.00|-.35
BYM/03/26/00188|111413288.73|111413288.73|.00|111413288.73|111413289.00|.00|111413289.00|-.27
BYM/03/26/00235|37667227.70|37667227.70|.00|37667227.70|37667228.00|.00|37667228.00|-.30
BYM/03/26/00236|308591052.91|308591052.91|.00|308591052.91|308591053.00|.00|308591053.00|-.09
BYM/03/26/00297|60445964.44|60445964.00|.44|60445964.44|60445964.00|.00|60445964.00|.44
BYM/03/26/00299|76451307.73|76451307.73|.00|76451307.73|76451308.00|.00|76451308.00|-.27
BYM/03/26/00304|109347125.02|109347125.00|.02|109347125.02|109347125.00|.00|109347125.00|.02
BYM/03/26/00305|105293335.26|105293335.26|.00|105293335.26|105293336.00|.00|105293336.00|-.74
BYM/03/26/00307|59954307.09|59954307.00|.09|59954307.09|59954307.00|.00|59954307.00|.09
BYM/03/26/00346|70438001.03|70438001.00|.03|70438001.03|70438001.00|.00|70438001.00|.03
BYM/03/26/00347|57337609.81|57337609.81|.00|57337609.81|57337610.00|.00|57337610.00|-.19
BYM/03/26/00348|100913618.40|100913618.00|.40|100913618.40|100913618.00|.00|100913618.00|.40
BYM/04/26/00004|91506800.28|91506800.00|.28|91506800.28|91506800.00|.00|91506800.00|.28
BYM/04/26/00046|73867887.10|73867887.00|.10|73867887.10|73867887.00|.00|73867887.00|.10
BYM/04/26/00053|92536049.20|92536049.00|.20|92536049.20|92536049.00|.00|92536049.00|.20
BYM/04/26/00054|73476293.80|73476293.80|.00|73476293.80|73476294.00|.00|73476294.00|-.20
BYM/04/26/00058|283899017.50|283899017.00|.50|283899017.50|283899017.00|.00|283899017.00|.50
BYM/04/26/00059|159785249.05|159785249.00|.05|159785249.05|159785249.00|.00|159785249.00|.05
BYM/04/26/00071|139873835.92|139873835.92|.00|139873835.92|139873836.00|.00|139873836.00|-.08
BYM/04/26/00076|98755641.25|98755641.25|.00|98755641.25|98755642.00|.00|98755642.00|-.75
BYM/04/26/00103|17986199.70|17986199.70|.00|17986199.70|17986200.00|.00|17986200.00|-.30
BYM/04/26/00107|222894750.05|222894750.05|.00|222894750.05|222894751.00|.00|222894751.00|-.95
BYM/04/26/00108|97376117.30|97376117.00|.30|97376117.30|97376117.00|.00|97376117.00|.30
BYM/04/26/00134|76729989.66|76729989.66|.00|76729989.66|76729990.00|.00|76729990.00|-.34
BYM/04/26/00140|156642021.55|156642021.55|.00|156642021.55|156642022.00|.00|156642022.00|-.45
BYM/04/26/00154|184458603.70|184458603.70|.00|184458603.70|184458604.00|.00|184458604.00|-.30
BYM/04/26/00155|139047726.30|139047726.00|.30|139047726.30|139047726.00|.00|139047726.00|.30
BYM/04/26/00166|79616603.85|79616603.85|.00|79616603.85|79616604.00|.00|79616604.00|-.15
BYM/04/26/00167|96260185.48|96260185.00|.48|96260185.48|96260185.00|.00|96260185.00|.48
BYM/04/26/00168|93684342.15|93684342.15|.00|93684342.15|93684343.00|.00|93684343.00|-.85
BYM/04/26/00220|28241998.68|28241998.68|.00|28241998.68|28241999.00|.00|28241999.00|-.32
BYM/04/26/00226|82980831.15|82980831.00|.15|82980831.15|82980831.00|.00|82980831.00|.15
BYM/04/26/00242|74763207.75|74763207.75|.00|74763207.75|74763208.00|.00|74763208.00|-.25
BYM/04/26/00246|81269393.45|81269393.45|.00|81269393.45|81269394.00|.00|81269394.00|-.55
BYM/04/26/00270|140655257.05|140655257.00|.05|140655257.05|140655257.00|.00|140655257.00|.05
BYM/04/26/00292|19090316.70|19090316.70|.00|19090316.70|19090317.00|.00|19090317.00|-.30
BYM/04/26/00293|86012074.05|86012074.05|.00|86012074.05|86012075.00|.00|86012075.00|-.95
BYM/04/26/00318|214876458.65|214876458.65|.00|214876458.65|214876459.00|.00|214876459.00|-.35
BYM/04/26/00319|24210000.85|24210000.85|.00|24210000.85|24210001.00|.00|24210001.00|-.15
BYM/04/26/00320|411920719.70|411920719.70|.00|411920719.70|411920720.00|.00|411920720.00|-.30
BYM/04/26/00321|93122549.80|93122549.80|.00|93122549.80|93122550.00|.00|93122550.00|-.20
BYM/04/26/00322|77898026.85|77898026.85|.00|77898026.85|77898027.00|.00|77898027.00|-.15
BYM/04/26/00334|23203424.72|23203424.72|.00|23203424.72|23203425.00|.00|23203425.00|-.28
BYM/04/26/00349|158957087.80|158957087.80|.00|158957087.80|158957088.00|.00|158957088.00|-.20
BYM/06/26/00006|273039135.25|273039135.25|.00|273039135.25|273039135.25|-.75|273039134.50|.75
BYM/10/25/00011|55289752.05|55289752.00|.05|55289752.05|55289752.00|.00|55289752.00|.05
BYM/10/25/00026|73839328.10|73839328.00|.10|73839328.10|73839328.00|.00|73839328.00|.10
BYM/10/25/00039|19751052.30|19751052.00|.30|19751052.30|19751052.00|.00|19751052.00|.30
BYM/11/25/00091|99692159.38|99692159.00|.38|99692159.38|99692159.00|.00|99692159.00|.38
BYM/11/25/00092|95692379.30|95692379.00|.30|95692379.30|95692379.00|.00|95692379.00|.30
BYM/11/25/00111|69885014.03|69885014.00|.03|69885014.03|69885014.00|.00|69885014.00|.03
BYM/11/25/00132|194485591.30|194485591.00|.30|194485591.30|194485591.00|.00|194485591.00|.30
BYM/11/25/00137|160791601.25|160791601.00|.25|160791601.25|160791601.00|.00|160791601.00|.25
BYM/11/25/00203|20391198.10|20391198.00|.10|20391198.10|20391198.00|.00|20391198.00|.10
BYM/12/25/00018|367833811.20|367833811.00|.20|367833811.20|367833811.00|.00|367833811.00|.20
BYM/12/25/00057|59920138.04|59920138.00|.04|59920138.04|59920138.00|.00|59920138.00|.04
BYM/12/25/00169|114181181.22|114181181.00|.22|114181181.22|114181181.00|.00|114181181.00|.22
BYM/12/25/00190|76288633.04|76288633.00|.04|76288633.04|76288633.00|.00|76288633.00|.04
BYM/12/25/00202|29068807.17|29068807.00|.17|29068807.17|29068807.00|.00|29068807.00|.17
BYM/12/25/00219|117006243.48|117006243.00|.48|117006243.48|117006243.00|.00|117006243.00|.48
BYM/12/25/00243|33401609.50|33401609.00|.50|33401609.50|33401609.00|.00|33401609.00|.50
BYM/12/25/00245|204074250.26|204074250.00|.26|204074250.26|204074250.00|.00|204074250.00|.26
BYM/12/25/00277|100351904.08|100351904.00|.08|100351904.08|100351904.00|.00|100351904.00|.08
